질문,골든 답변,생성 답변,정답 chunk_id,LLM 사용 chunk_id,생성 답변 출처,Retriever Top-3,실제 LLM Context chunk,검색 시간(초),답변 생성 시간(초),질문 전체 시간(초)
사망도 퇴직에 해당되나요?,,"네, 사망은 당연히 퇴직에 해당합니다. 직원은 사망하였을 경우 당연히 퇴직하게 됩니다.",,인사규정_0078,인사규정 제35조 [인사규정_0078],"1. 인사규정_0078 (인사규정)
2. 인사규정_0104 (인사규정)
3. 인사규정_0089 (인사규정)
4. 급여규정_0074 (급여규정)
5. 인사규정_0107 (인사규정)
6. 급여규정_0089 (급여규정)
7. 급여규정_0144 (급여규정)
8. 급여규정_0018 (급여규정)
9. 급여규정_0154 (급여규정)
10. 인사규정_0111 (인사규정)","인사규정_0077 (chunk_no=77)
인사규정_0078 (chunk_no=78)
인사규정_0079 (chunk_no=79)
인사규정_0103 (chunk_no=103)
인사규정_0104 (chunk_no=104)
인사규정_0105 (chunk_no=105)
인사규정_0088 (chunk_no=88)
인사규정_0089 (chunk_no=89)
인사규정_0090 (chunk_no=90)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)
인사규정_0106 (chunk_no=106)
인사규정_0107 (chunk_no=107)
인사규정_0108 (chunk_no=108)
급여규정_0088 (chunk_no=88)
급여규정_0089 (chunk_no=89)
급여규정_0090 (chunk_no=90)
급여규정_0143 (chunk_no=143)
급여규정_0144 (chunk_no=144)
급여규정_0145 (chunk_no=145)
급여규정_0017 (chunk_no=17)
급여규정_0018 (chunk_no=18)
급여규정_0019 (chunk_no=19)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0155 (chunk_no=155)
인사규정_0110 (chunk_no=110)
인사규정_0111 (chunk_no=111)
인사규정_0112 (chunk_no=112)",3.662,1.402,5.069
강등 또는 정직 처분 기간에는 연봉을 지급하나요?,,강등 및 정직 처분 기간 중에는 연봉월액 전액이 감액됩니다.,,급여규정_0069,급여규정 제33조 [급여규정_0069],"1. 급여규정_0156 (급여규정)
2. 급여규정_0068 (급여규정)
3. 급여규정_0154 (급여규정)
4. 급여규정_0148 (급여규정)
5. 급여규정_0070 (급여규정)
6. 급여규정_0093 (급여규정)
7. 급여규정_0074 (급여규정)
8. 급여규정_0045 (급여규정)
9. 급여규정_0019 (급여규정)
10. 급여규정_0075 (급여규정)","급여규정_0155 (chunk_no=155)
급여규정_0156 (chunk_no=156)
급여규정_0157 (chunk_no=157)
급여규정_0067 (chunk_no=67)
급여규정_0068 (chunk_no=68)
급여규정_0069 (chunk_no=69)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0147 (chunk_no=147)
급여규정_0148 (chunk_no=148)
급여규정_0149 (chunk_no=149)
급여규정_0070 (chunk_no=70)
급여규정_0071 (chunk_no=71)
급여규정_0092 (chunk_no=92)
급여규정_0093 (chunk_no=93)
급여규정_0094 (chunk_no=94)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)
급여규정_0044 (chunk_no=44)
급여규정_0045 (chunk_no=45)
급여규정_0046 (chunk_no=46)
급여규정_0018 (chunk_no=18)
급여규정_0019 (chunk_no=19)
급여규정_0020 (chunk_no=20)
급여규정_0076 (chunk_no=76)",3.778,1.556,5.337
정직은 얼마나 지속되며 그 기간에 연봉은 어떻게 되나요?,,정직 기간 중 연봉은 전액이 감액됩니다. 정직의 지속 기간에 대한 구체적인 내용은 제공된 문서에서 확인할 수 없습니다.,,급여규정_0069,급여규정 제33조 [급여규정_0069],"1. 급여규정_0068 (급여규정)
2. 급여규정_0051 (급여규정)
3. 급여규정_0074 (급여규정)
4. 급여규정_0062 (급여규정)
5. 급여규정_0141 (급여규정)
6. 급여규정_0066 (급여규정)
7. 급여규정_0148 (급여규정)
8. 급여규정_0112 (급여규정)
9. 급여규정_0018 (급여규정)
10. 급여규정_0027 (급여규정)","급여규정_0067 (chunk_no=67)
급여규정_0068 (chunk_no=68)
급여규정_0069 (chunk_no=69)
급여규정_0050 (chunk_no=50)
급여규정_0051 (chunk_no=51)
급여규정_0052 (chunk_no=52)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)
급여규정_0061 (chunk_no=61)
급여규정_0062 (chunk_no=62)
급여규정_0063 (chunk_no=63)
급여규정_0140 (chunk_no=140)
급여규정_0141 (chunk_no=141)
급여규정_0142 (chunk_no=142)
급여규정_0065 (chunk_no=65)
급여규정_0066 (chunk_no=66)
급여규정_0147 (chunk_no=147)
급여규정_0148 (chunk_no=148)
급여규정_0149 (chunk_no=149)
급여규정_0111 (chunk_no=111)
급여규정_0112 (chunk_no=112)
급여규정_0113 (chunk_no=113)
급여규정_0017 (chunk_no=17)
급여규정_0018 (chunk_no=18)
급여규정_0019 (chunk_no=19)
급여규정_0026 (chunk_no=26)
급여규정_0027 (chunk_no=27)
급여규정_0028 (chunk_no=28)",3.72,1.379,5.102
직원의 초임호봉은 무조건 1호봉인가요?,,"직원의 초임호봉은 기본적으로 1호봉으로 하되, 별표 5에 따른 근무경력이 있는 경우에는 이를 가산합니다.",,급여규정_0034,급여규정 제16조 [급여규정_0034],"1. 급여규정_0034 (급여규정)
2. 급여규정_0038 (급여규정)
3. 급여규정_0105 (급여규정)
4. 급여규정_0136 (급여규정)
5. 급여규정_0145 (급여규정)
6. 급여규정_0119 (급여규정)
7. 급여규정_0137 (급여규정)
8. 인사규정_0003 (인사규정)
9. 급여규정_0039 (급여규정)
10. 인사규정_0179 (인사규정)","급여규정_0033 (chunk_no=33)
급여규정_0034 (chunk_no=34)
급여규정_0035 (chunk_no=35)
급여규정_0037 (chunk_no=37)
급여규정_0038 (chunk_no=38)
급여규정_0039 (chunk_no=39)
급여규정_0104 (chunk_no=104)
급여규정_0105 (chunk_no=105)
급여규정_0106 (chunk_no=106)
급여규정_0135 (chunk_no=135)
급여규정_0136 (chunk_no=136)
급여규정_0137 (chunk_no=137)
급여규정_0144 (chunk_no=144)
급여규정_0145 (chunk_no=145)
급여규정_0146 (chunk_no=146)
급여규정_0118 (chunk_no=118)
급여규정_0119 (chunk_no=119)
급여규정_0120 (chunk_no=120)
급여규정_0138 (chunk_no=138)
인사규정_0002 (chunk_no=2)
인사규정_0003 (chunk_no=3)
인사규정_0004 (chunk_no=4)
급여규정_0040 (chunk_no=40)
인사규정_0178 (chunk_no=178)
인사규정_0179 (chunk_no=179)
인사규정_0180 (chunk_no=180)",3.591,1.396,4.991
기능직3등급 13호봉의 급여가 궁금합니다.,,"기능직3등급 13호봉의 급여는 3,117,000원입니다.",,급여규정_0137,급여규정 별표 3 - 직원 봉급액(기능직렬) [급여규정_0137],"1. 급여규정_0137 (급여규정)
2. 급여규정_0134 (급여규정)
3. 급여규정_0029 (급여규정)
4. 급여규정_0027 (급여규정)
5. 급여규정_0003 (급여규정)
6. 급여규정_0028 (급여규정)
7. 급여규정_0026 (급여규정)
8. 인사규정_0039 (인사규정)
9. 급여규정_0019 (급여규정)
10. 급여규정_0136 (급여규정)","급여규정_0136 (chunk_no=136)
급여규정_0137 (chunk_no=137)
급여규정_0138 (chunk_no=138)
급여규정_0133 (chunk_no=133)
급여규정_0134 (chunk_no=134)
급여규정_0135 (chunk_no=135)
급여규정_0028 (chunk_no=28)
급여규정_0029 (chunk_no=29)
급여규정_0030 (chunk_no=30)
급여규정_0026 (chunk_no=26)
급여규정_0027 (chunk_no=27)
급여규정_0002 (chunk_no=2)
급여규정_0003 (chunk_no=3)
급여규정_0004 (chunk_no=4)
급여규정_0025 (chunk_no=25)
인사규정_0038 (chunk_no=38)
인사규정_0039 (chunk_no=39)
인사규정_0040 (chunk_no=40)
급여규정_0018 (chunk_no=18)
급여규정_0019 (chunk_no=19)
급여규정_0020 (chunk_no=20)",3.613,1.295,4.912
비밀기록물 원본을 생산부서에서 파기하여도 될까요?,,비밀기록물 원본은 생산부서에서 파기할 수 없습니다. 비밀기록물은 특정 사유가 발생한 다음 연도 중에 비밀기록물 이관절차에 따라 이관해야 합니다.,,보안업무예규_0059,보안업무예규 제24조 [보안업무예규_0059],"1. 보안업무예규_0059 (보안업무예규)
2. 보안업무예규_0106 (보안업무예규)
3. 보안업무예규_0091 (보안업무예규)
4. 보안업무예규_0046 (보안업무예규)
5. 보안업무예규_0060 (보안업무예규)
6. 보안업무예규_0057 (보안업무예규)
7. 보안업무예규_0096 (보안업무예규)
8. 보안업무예규_0144 (보안업무예규)
9. 보안업무예규_0036 (보안업무예규)
10. 보안업무예규_0146 (보안업무예규)","보안업무예규_0058 (chunk_no=58)
보안업무예규_0059 (chunk_no=59)
보안업무예규_0060 (chunk_no=60)
보안업무예규_0105 (chunk_no=105)
보안업무예규_0106 (chunk_no=106)
보안업무예규_0107 (chunk_no=107)
보안업무예규_0090 (chunk_no=90)
보안업무예규_0091 (chunk_no=91)
보안업무예규_0092 (chunk_no=92)
보안업무예규_0045 (chunk_no=45)
보안업무예규_0046 (chunk_no=46)
보안업무예규_0047 (chunk_no=47)
보안업무예규_0061 (chunk_no=61)
보안업무예규_0056 (chunk_no=56)
보안업무예규_0057 (chunk_no=57)
보안업무예규_0095 (chunk_no=95)
보안업무예규_0096 (chunk_no=96)
보안업무예규_0097 (chunk_no=97)
보안업무예규_0143 (chunk_no=143)
보안업무예규_0144 (chunk_no=144)
보안업무예규_0145 (chunk_no=145)
보안업무예규_0035 (chunk_no=35)
보안업무예규_0036 (chunk_no=36)
보안업무예규_0037 (chunk_no=37)
보안업무예규_0146 (chunk_no=146)
보안업무예규_0147 (chunk_no=147)",3.779,1.295,5.078
2급 비밀의 복제를 제한하려고 합니다. 어떻게 해야하나요?,,"2급 비밀의 복제를 제한하려면, 그 비밀의 표지 뒷면 또는 예고문 위에 ""이 비밀은 생산자의 허가 없이 복제·복사할 수 없음""이라고 붉은색으로 기입해야 합니다.",,보안업무예규_0106,보안업무예규 제38조 [보안업무예규_0106],"1. 공간정보보안업무예규_0071 (공간정보보안업무예규)
2. 보안업무예규_0126 (보안업무예규)
3. 보안업무예규_0134 (보안업무예규)
4. 공간정보보안업무예규_0023 (공간정보보안업무예규)
5. 보안업무예규_0072 (보안업무예규)
6. 보안업무예규_0105 (보안업무예규)
7. 보안업무예규_0041 (보안업무예규)
8. 보안업무예규_0048 (보안업무예규)
9. 보안업무예규_0064 (보안업무예규)
10. 보안업무예규_0052 (보안업무예규)","공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)
보안업무예규_0125 (chunk_no=125)
보안업무예규_0126 (chunk_no=126)
보안업무예규_0127 (chunk_no=127)
보안업무예규_0133 (chunk_no=133)
보안업무예규_0134 (chunk_no=134)
보안업무예규_0135 (chunk_no=135)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)
보안업무예규_0071 (chunk_no=71)
보안업무예규_0072 (chunk_no=72)
보안업무예규_0073 (chunk_no=73)
보안업무예규_0104 (chunk_no=104)
보안업무예규_0105 (chunk_no=105)
보안업무예규_0106 (chunk_no=106)
보안업무예규_0040 (chunk_no=40)
보안업무예규_0041 (chunk_no=41)
보안업무예규_0042 (chunk_no=42)
보안업무예규_0047 (chunk_no=47)
보안업무예규_0048 (chunk_no=48)
보안업무예규_0049 (chunk_no=49)
보안업무예규_0063 (chunk_no=63)
보안업무예규_0064 (chunk_no=64)
보안업무예규_0065 (chunk_no=65)
보안업무예규_0051 (chunk_no=51)
보안업무예규_0052 (chunk_no=52)
보안업무예규_0053 (chunk_no=53)",3.745,1.481,5.231
지역본부의 사옥방호책임자는 누가 되나요?,,지역본부의 사옥방호책임자는 운영지원처장입니다.,,보안업무예규_0113,보안업무예규 제41조 [보안업무예규_0113],"1. 보안업무예규_0114 (보안업무예규)
2. 보안업무예규_0113 (보안업무예규)
3. 보안업무예규_0016 (보안업무예규)
4. 보안업무예규_0120 (보안업무예규)
5. 보안업무예규_0018 (보안업무예규)
6. 보안업무예규_0115 (보안업무예규)
7. 보안업무예규_0128 (보안업무예규)
8. 보안업무예규_0017 (보안업무예규)
9. 보안업무예규_0117 (보안업무예규)
10. 보안업무예규_0119 (보안업무예규)","보안업무예규_0113 (chunk_no=113)
보안업무예규_0114 (chunk_no=114)
보안업무예규_0115 (chunk_no=115)
보안업무예규_0112 (chunk_no=112)
보안업무예규_0015 (chunk_no=15)
보안업무예규_0016 (chunk_no=16)
보안업무예규_0017 (chunk_no=17)
보안업무예규_0119 (chunk_no=119)
보안업무예규_0120 (chunk_no=120)
보안업무예규_0121 (chunk_no=121)
보안업무예규_0018 (chunk_no=18)
보안업무예규_0019 (chunk_no=19)
보안업무예규_0116 (chunk_no=116)
보안업무예규_0127 (chunk_no=127)
보안업무예규_0128 (chunk_no=128)
보안업무예규_0129 (chunk_no=129)
보안업무예규_0117 (chunk_no=117)
보안업무예규_0118 (chunk_no=118)",3.657,0.999,4.665
"외부인 출입일지 보관 기간과, 기관이 경과 후 폐기는 마음대로 해도되는지 궁금합니다.",,"외부인 출입일지는 2년간 보관해야 하며, 연장하거나 폐기할 경우에는 기록물 관리부서와 미리 협의해야 합니다.",,보안업무예규_0126,보안업무예규 제46조 [보안업무예규_0126],"1. 보안업무예규_0126 (보안업무예규)
2. 보안업무예규_0036 (보안업무예규)
3. 보안업무예규_0059 (보안업무예규)
4. 보안업무예규_0134 (보안업무예규)
5. 공간정보보안업무예규_0071 (공간정보보안업무예규)
6. 보안업무예규_0072 (보안업무예규)
7. 보안업무예규_0099 (보안업무예규)
8. 보안업무예규_0140 (보안업무예규)
9. 보안업무예규_0046 (보안업무예규)
10. 보안업무예규_0106 (보안업무예규)","보안업무예규_0125 (chunk_no=125)
보안업무예규_0126 (chunk_no=126)
보안업무예규_0127 (chunk_no=127)
보안업무예규_0035 (chunk_no=35)
보안업무예규_0036 (chunk_no=36)
보안업무예규_0037 (chunk_no=37)
보안업무예규_0058 (chunk_no=58)
보안업무예규_0059 (chunk_no=59)
보안업무예규_0060 (chunk_no=60)
보안업무예규_0133 (chunk_no=133)
보안업무예규_0134 (chunk_no=134)
보안업무예규_0135 (chunk_no=135)
공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)
보안업무예규_0071 (chunk_no=71)
보안업무예규_0072 (chunk_no=72)
보안업무예규_0073 (chunk_no=73)
보안업무예규_0098 (chunk_no=98)
보안업무예규_0099 (chunk_no=99)
보안업무예규_0100 (chunk_no=100)
보안업무예규_0139 (chunk_no=139)
보안업무예규_0140 (chunk_no=140)
보안업무예규_0141 (chunk_no=141)
보안업무예규_0045 (chunk_no=45)
보안업무예규_0046 (chunk_no=46)
보안업무예규_0047 (chunk_no=47)
보안업무예규_0105 (chunk_no=105)
보안업무예규_0106 (chunk_no=106)
보안업무예규_0107 (chunk_no=107)",3.749,1.116,4.87
보안담당관은 보안감사결과를 누구에게 보고해야하나요?,,보안담당관은 보안감사결과를 주무부장관에게 보고하고 국가정보원장에게 통보하여야 합니다.,,보안업무예규_0165,보안업무예규 제55조 [보안업무예규_0165],"1. 보안업무예규_0165 (보안업무예규)
2. 보안업무예규_0172 (보안업무예규)
3. 보안업무예규_0170 (보안업무예규)
4. 보안업무예규_0167 (보안업무예규)
5. 보안업무예규_0168 (보안업무예규)
6. 보안업무예규_0169 (보안업무예규)
7. 보안업무예규_0162 (보안업무예규)
8. 보안업무예규_0017 (보안업무예규)
9. 보안업무예규_0153 (보안업무예규)
10. 보안업무예규_0156 (보안업무예규)","보안업무예규_0164 (chunk_no=164)
보안업무예규_0165 (chunk_no=165)
보안업무예규_0166 (chunk_no=166)
보안업무예규_0171 (chunk_no=171)
보안업무예규_0172 (chunk_no=172)
보안업무예규_0173 (chunk_no=173)
보안업무예규_0169 (chunk_no=169)
보안업무예규_0170 (chunk_no=170)
보안업무예규_0167 (chunk_no=167)
보안업무예규_0168 (chunk_no=168)
보안업무예규_0161 (chunk_no=161)
보안업무예규_0162 (chunk_no=162)
보안업무예규_0163 (chunk_no=163)
보안업무예규_0016 (chunk_no=16)
보안업무예규_0017 (chunk_no=17)
보안업무예규_0018 (chunk_no=18)
보안업무예규_0152 (chunk_no=152)
보안업무예규_0153 (chunk_no=153)
보안업무예규_0154 (chunk_no=154)
보안업무예규_0155 (chunk_no=155)
보안업무예규_0156 (chunk_no=156)
보안업무예규_0157 (chunk_no=157)",3.648,1.38,5.033
"직원 신규채용시, 수습기간이 어떻게 되나요?",,"직원을 신규채용하는 경우에는 3개월의 수습기간을 둡니다. 다만, 인사운영상 불가피한 경우와 채용형인턴을 통해 입사하거나 해당 분야 경력을 인정받아 채용되는 자는 수습기간을 두지 않거나 그 기간을 단축할 수 있습니다.",,인사규정_0039|인사규정_0040,인사규정 제16조 [인사규정_0039],"1. 인사규정_0039 (인사규정)
2. 인사규정_0032 (인사규정)
3. 인사규정_0040 (인사규정)
4. 인사규정_0179 (인사규정)
5. 인사규정_0071 (인사규정)
6. 인사규정_0105 (인사규정)
7. 인사규정_0041 (인사규정)
8. 인사규정_0183 (인사규정)
9. 인사규정_0097 (인사규정)
10. 인사규정_0182 (인사규정)","인사규정_0038 (chunk_no=38)
인사규정_0039 (chunk_no=39)
인사규정_0040 (chunk_no=40)
인사규정_0031 (chunk_no=31)
인사규정_0032 (chunk_no=32)
인사규정_0033 (chunk_no=33)
인사규정_0041 (chunk_no=41)
인사규정_0178 (chunk_no=178)
인사규정_0179 (chunk_no=179)
인사규정_0180 (chunk_no=180)
인사규정_0070 (chunk_no=70)
인사규정_0071 (chunk_no=71)
인사규정_0072 (chunk_no=72)
인사규정_0104 (chunk_no=104)
인사규정_0105 (chunk_no=105)
인사규정_0106 (chunk_no=106)
인사규정_0042 (chunk_no=42)
인사규정_0182 (chunk_no=182)
인사규정_0183 (chunk_no=183)
인사규정_0184 (chunk_no=184)
인사규정_0096 (chunk_no=96)
인사규정_0097 (chunk_no=97)
인사규정_0098 (chunk_no=98)
인사규정_0181 (chunk_no=181)",3.71,1.6,5.315
파견 근무는 언제 가능한가요?,,"파견 근무는 사장이 다음 각 호의 어느 하나에 해당하는 경우에 가능하며, 그 내용은 다음과 같습니다: 1. 공사의 업무수행 또는 이와 관련한 업무지원을 위하여 필요한 경우, 2. 국내·외 장기연수 또는 교육훈련이 필요한 경우, 3. 국제기구 파견 또는 해외사업 수행을 위하여 외국에서 근무가 필요한 경우.",,인사규정_0066,인사규정 제26조 [인사규정_0066],"1. 인사규정_0066 (인사규정)
2. 여비규정_0034 (여비규정)
3. 여비규정_0038 (여비규정)
4. 인사규정_0068 (인사규정)
5. 인사규정_0067 (인사규정)
6. 복무규정_0024 (복무규정)
7. 여비규정_0033 (여비규정)
8. 연차_휴가에_관한_예규_0008 (연차_휴가에_관한_예규)
9. 여비규정_0037 (여비규정)
10. 여비규정_0032 (여비규정)","인사규정_0065 (chunk_no=65)
인사규정_0066 (chunk_no=66)
인사규정_0067 (chunk_no=67)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
여비규정_0037 (chunk_no=37)
여비규정_0038 (chunk_no=38)
여비규정_0039 (chunk_no=39)
인사규정_0068 (chunk_no=68)
인사규정_0069 (chunk_no=69)
복무규정_0023 (chunk_no=23)
복무규정_0024 (chunk_no=24)
복무규정_0025 (chunk_no=25)
여비규정_0032 (chunk_no=32)
연차_휴가에_관한_예규_0007 (chunk_no=7)
연차_휴가에_관한_예규_0008 (chunk_no=8)
연차_휴가에_관한_예규_0009 (chunk_no=9)
여비규정_0036 (chunk_no=36)
여비규정_0031 (chunk_no=31)",3.763,2.028,5.795
출산휴가와 육아휴직을 연계하여 사용할 수 있나요?,,여성직원은 출산휴가와 육아휴직을 연계하여 동시에 신청할 수 있습니다.,,인사규정_0091,인사규정 제39조 [인사규정_0091],"1. 인사규정_0091 (인사규정)
2. 연차_휴가에_관한_예규_0020 (연차_휴가에_관한_예규)
3. 복무규정_0055 (복무규정)
4. 연차_휴가에_관한_예규_0016 (연차_휴가에_관한_예규)
5. 연차_휴가에_관한_예규_0017 (연차_휴가에_관한_예규)
6. 복무규정_0045 (복무규정)
7. 연차_휴가에_관한_예규_0019 (연차_휴가에_관한_예규)
8. 인사규정_0090 (인사규정)
9. 복무규정_0041 (복무규정)
10. 급여규정_0112 (급여규정)","인사규정_0090 (chunk_no=90)
인사규정_0091 (chunk_no=91)
인사규정_0092 (chunk_no=92)
연차_휴가에_관한_예규_0019 (chunk_no=19)
연차_휴가에_관한_예규_0020 (chunk_no=20)
연차_휴가에_관한_예규_0021 (chunk_no=21)
복무규정_0054 (chunk_no=54)
복무규정_0055 (chunk_no=55)
복무규정_0056 (chunk_no=56)
연차_휴가에_관한_예규_0015 (chunk_no=15)
연차_휴가에_관한_예규_0016 (chunk_no=16)
연차_휴가에_관한_예규_0017 (chunk_no=17)
연차_휴가에_관한_예규_0018 (chunk_no=18)
복무규정_0044 (chunk_no=44)
복무규정_0045 (chunk_no=45)
복무규정_0046 (chunk_no=46)
인사규정_0089 (chunk_no=89)
복무규정_0040 (chunk_no=40)
복무규정_0041 (chunk_no=41)
복무규정_0042 (chunk_no=42)
급여규정_0111 (chunk_no=111)
급여규정_0112 (chunk_no=112)
급여규정_0113 (chunk_no=113)",4.589,1.02,5.614
강등당하면 신분도 없어지나요?,,강등은 1계급 아래로 직급을 내리지만 신분은 보유합니다. 따라서 강등당해도 신분은 없어지지 않습니다.,,인사규정_0124,인사규정 제53조 [인사규정_0124],"1. 인사규정_0098 (인사규정)
2. 인사규정_0079 (인사규정)
3. 인사규정_0124 (인사규정)
4. 인사규정_0038 (인사규정)
5. 인사규정_0050 (인사규정)
6. 인사규정_0099 (인사규정)
7. 인사규정_0051 (인사규정)
8. 보안업무예규_0040 (보안업무예규)
9. 인사규정_0085 (인사규정)
10. 급여규정_0156 (급여규정)","인사규정_0097 (chunk_no=97)
인사규정_0098 (chunk_no=98)
인사규정_0099 (chunk_no=99)
인사규정_0078 (chunk_no=78)
인사규정_0079 (chunk_no=79)
인사규정_0080 (chunk_no=80)
인사규정_0123 (chunk_no=123)
인사규정_0124 (chunk_no=124)
인사규정_0125 (chunk_no=125)
인사규정_0037 (chunk_no=37)
인사규정_0038 (chunk_no=38)
인사규정_0039 (chunk_no=39)
인사규정_0049 (chunk_no=49)
인사규정_0050 (chunk_no=50)
인사규정_0051 (chunk_no=51)
인사규정_0100 (chunk_no=100)
인사규정_0052 (chunk_no=52)
보안업무예규_0039 (chunk_no=39)
보안업무예규_0040 (chunk_no=40)
보안업무예규_0041 (chunk_no=41)
인사규정_0084 (chunk_no=84)
인사규정_0085 (chunk_no=85)
인사규정_0086 (chunk_no=86)
급여규정_0155 (chunk_no=155)
급여규정_0156 (chunk_no=156)
급여규정_0157 (chunk_no=157)",3.746,1.118,4.868
기능직 4등급의 승진소요 최저년수가 궁금합니다.,,제공된 문서만으로는 기능직 4등급의 승진소요 최저년수를 확인하기 어렵습니다.,,,,"1. 인사규정_0058 (인사규정)
2. 인사규정_0044 (인사규정)
3. 인사규정_0059 (인사규정)
4. 급여규정_0036 (급여규정)
5. 인사규정_0055 (인사규정)
6. 승진임용규칙_0030 (승진임용규칙)
7. 승진임용규칙_0044 (승진임용규칙)
8. 급여규정_0037 (급여규정)
9. 인사규정_0054 (인사규정)
10. 인사규정_0053 (인사규정)","인사규정_0057 (chunk_no=57)
인사규정_0058 (chunk_no=58)
인사규정_0059 (chunk_no=59)
인사규정_0043 (chunk_no=43)
인사규정_0044 (chunk_no=44)
인사규정_0045 (chunk_no=45)
인사규정_0060 (chunk_no=60)
급여규정_0035 (chunk_no=35)
급여규정_0036 (chunk_no=36)
급여규정_0037 (chunk_no=37)
인사규정_0054 (chunk_no=54)
인사규정_0055 (chunk_no=55)
인사규정_0056 (chunk_no=56)
승진임용규칙_0029 (chunk_no=29)
승진임용규칙_0030 (chunk_no=30)
승진임용규칙_0031 (chunk_no=31)
승진임용규칙_0043 (chunk_no=43)
승진임용규칙_0044 (chunk_no=44)
승진임용규칙_0045 (chunk_no=45)
급여규정_0038 (chunk_no=38)
인사규정_0053 (chunk_no=53)
인사규정_0052 (chunk_no=52)",3.753,0.979,4.736
공간정보 데이터베이스를 운영할 때 어떤 보호대책을 마련해야 하나요?,,"공간정보 데이터베이스를 운영할 경우, 훼손·파괴·유출 등을 방지하기 위한 보호대책을 마련해야 하며, 이 보호대책에는 다음과 같은 사항이 포함되어야 합니다: 1. 보안관리 책임자 지정, 2. 데이터베이스 보관 시설에 대한 출입통제, 3. 데이터베이스 복제본 관리대장 비치, 4. 접근 권한 구분 설정, 5. 비공개 또는 공개가 제한되는 자료목록 관리, 6. 해킹 및 컴퓨터바이러스 예방대책 마련.",,공간정보보안업무예규_0018|공간정보보안업무예규_0019,공간정보보안업무예규 제10조 [공간정보보안업무예규_0018],"1. 공간정보보안업무예규_0018 (공간정보보안업무예규)
2. 공간정보보안업무예규_0019 (공간정보보안업무예규)
3. 공간정보보안업무예규_0020 (공간정보보안업무예규)
4. 공간정보보안업무예규_0022 (공간정보보안업무예규)
5. 공간정보보안업무예규_0021 (공간정보보안업무예규)
6. 공간정보보안업무예규_0066 (공간정보보안업무예규)
7. 공간정보보안업무예규_0002 (공간정보보안업무예규)
8. 공간정보보안업무예규_0067 (공간정보보안업무예규)
9. 공간정보보안업무예규_0035 (공간정보보안업무예규)
10. 공간정보보안업무예규_0008 (공간정보보안업무예규)","공간정보보안업무예규_0017 (chunk_no=17)
공간정보보안업무예규_0018 (chunk_no=18)
공간정보보안업무예규_0019 (chunk_no=19)
공간정보보안업무예규_0020 (chunk_no=20)
공간정보보안업무예규_0021 (chunk_no=21)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0065 (chunk_no=65)
공간정보보안업무예규_0066 (chunk_no=66)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0001 (chunk_no=1)
공간정보보안업무예규_0002 (chunk_no=2)
공간정보보안업무예규_0003 (chunk_no=3)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0007 (chunk_no=7)
공간정보보안업무예규_0008 (chunk_no=8)
공간정보보안업무예규_0009 (chunk_no=9)",3.664,2.187,5.855
