query_id,Hit,P,R,MRR,query
Q044,0,0.0,0.0,0.0,육아휴직은 자녀 한 명당 얼마나 사용할 수 있나요?
Q045,1,0.14285714285714285,1.0,1.0,징계사유가 발생한 뒤 징계를 요구할 수 있는 기간은 얼마나 되나요?
Q046,1,0.14285714285714285,1.0,1.0,지각이나 조퇴가 쌓이면 연차에서 차감되나요?
Q047,1,0.14285714285714285,1.0,1.0,병가를 며칠 이상 사용하면 진단서가 필요한가요?
Q048,0,0.0,0.0,0.0,승진하려면 교육훈련시간을 꼭 채워야 하나요?
Q049,1,0.14285714285714285,1.0,1.0,승진후보자 점수가 같으면 누가 우선순위가 되나요?
Q050,1,0.14285714285714285,1.0,1.0,출장을 다녀온 뒤 여비 정산은 언제까지 해야 하나요?
Q051,1,0.14285714285714285,1.0,0.2,하루만 출장 가는 경우 출장비는 얼마인가요?
Q052,1,0.14285714285714285,1.0,1.0,연차를 시간 단위로 사용할 수 있나요?
Q053,1,0.14285714285714285,1.0,1.0,사용하지 못한 연차는 다음 해로 저축할 수 있나요?
Q054,1,0.14285714285714285,1.0,0.2,입사한 지 1년이 안 됐는데도 연차가 생기나요?
Q055,1,0.14285714285714285,1.0,1.0,연차를 다 썼는데 다음 연도 연차를 미리 사용할 수 있나요?
Q056,1,0.14285714285714285,1.0,1.0,교통사고 때문에 지각한 경우에도 지각으로 처리되나요?
Q057,0,0.0,0.0,0.0,회사에서 사용할 수 있는 휴가에는 어떤 종류가 있나요?
Q058,0,0.0,0.0,0.0,승진후보자 순위는 어떤 기준으로 정해지나요?
Q059,1,0.14285714285714285,1.0,1.0,자격증이 있으면 승진할 때 가점을 받을 수 있나요?
Q060,1,0.14285714285714285,1.0,1.0,항공편으로 출장하는 경우 숙박비도 지급되나요?
Q061,1,0.14285714285714285,1.0,1.0,집에서 출장지로 바로 출발해도 여비를 받을 수 있나요?
Q062,1,0.14285714285714285,1.0,0.25,연차를 신청하면 무조건 사용할 수 있나요?
Q063,1,0.14285714285714285,1.0,0.3333333333333333,연차 기간에 휴일이 포함되면 그날도 연차에서 차감되나요?
Q064,1,0.14285714285714285,1.0,0.5,사내 다른 기관으로 파견되면 최대 얼마 동안 근무할 수 있나요?
Q065,1,0.14285714285714285,1.0,1.0,회사에서 다른 직을 겸직할 수 있나요?
Q066,1,0.14285714285714285,1.0,1.0,회사의 기본 근무시간은 어떻게 되나요?
Q067,1,0.14285714285714285,1.0,1.0,출장 중 정해진 기간 안에 업무를 끝내지 못할 것 같으면 어떻게 해야 하나요?
Q068,1,0.14285714285714285,1.0,1.0,출장이 끝나면 출장 결과를 따로 보고해야 하나요?
Q069,1,0.14285714285714285,1.0,0.5,육아기 근로시간 단축을 사용하면 일주일에 몇 시간까지 근무할 수 있나요?
Q070,1,0.14285714285714285,1.0,0.5,표창을 받으면 승진평정에서 가점을 받을 수 있나요?
Q071,1,0.14285714285714285,1.0,1.0,징계를 받으면 승진할 때 점수가 깎이나요?
Q072,1,0.14285714285714285,1.0,1.0,사내강사로 강의한 시간도 승진에 필요한 교육시간으로 인정되나요?
Q073,1,0.14285714285714285,1.0,0.5,국토정보직 3급 시험승진은 어떤 절차로 진행되나요?
Q074,1,0.14285714285714285,1.0,1.0,출장으로 쌓인 항공마일리지는 다음 출장 때 사용해야 하나요?
Q075,1,0.14285714285714285,1.0,1.0,같은 지역에 장기간 출장하면 일비가 줄어드나요?
Q076,1,0.14285714285714285,1.0,0.5,전보로 다른 지역에 이사하면 이사비용을 지원받을 수 있나요?
Q077,0,0.0,0.0,0.0,외부기관에서 출장비를 일부 지원받으면 회사 출장비도 전액 받을 수 있나요?
Q078,1,0.14285714285714285,1.0,1.0,연도 중간에 입사하면 다음 해 연차는 어떻게 계산되나요?
Q079,1,0.14285714285714285,1.0,0.5,육아휴직을 사용한 기간도 연차 계산할 때 출근한 것으로 보나요?
Q080,1,0.14285714285714285,1.0,1.0,근속연수가 늘어나면 연차는 최대 며칠까지 받을 수 있나요?
Q081,1,0.14285714285714285,1.0,0.14285714285714285,퇴직할 때 입사일 기준 연차보다 적게 부여받았다면 보상받을 수 있나요?
Q082,1,0.14285714285714285,1.0,1.0,신입 직원은 수습기간이 얼마나 되나요?
Q083,1,0.14285714285714285,1.0,0.5,직원의 정년은 몇 살인가요?
Q084,1,0.14285714285714285,1.0,1.0,출산휴가와 육아휴직을 한 번에 같이 신청할 수 있나요?
Q085,1,0.14285714285714285,1.0,1.0,담당자가 직무를 수행할 수 없거나 자리가 비어 있으면 누가 대신하나요?
