질문,골든 답변,생성 답변,정답 chunk_id,LLM 사용 chunk_id,생성 답변 출처,Retriever Top-3,실제 LLM Context chunk,검색 시간(초),답변 생성 시간(초),질문 전체 시간(초)
사망도 퇴직에 해당되나요?,,예. 인사규정 제35조에 따르면 '사망하였을 경우'를 당연퇴직 사유로 규정하고 있으므로 사망은 퇴직에 해당합니다.,,인사규정_0078,인사규정 제35조 [인사규정_0078],"1. 인사규정_0078 (인사규정)
2. 인사규정_0104 (인사규정)
3. 인사규정_0089 (인사규정)
4. 급여규정_0074 (급여규정)
5. 인사규정_0107 (인사규정)","인사규정_0077 (chunk_no=77)
인사규정_0078 (chunk_no=78)
인사규정_0079 (chunk_no=79)
인사규정_0103 (chunk_no=103)
인사규정_0104 (chunk_no=104)
인사규정_0105 (chunk_no=105)
인사규정_0088 (chunk_no=88)
인사규정_0089 (chunk_no=89)
인사규정_0090 (chunk_no=90)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)
인사규정_0106 (chunk_no=106)
인사규정_0107 (chunk_no=107)
인사규정_0108 (chunk_no=108)",3.574,4.85,8.43
강등 또는 정직 처분 기간에는 연봉을 지급하나요?,,아니요. 강등·정직 처분 기간에는 연봉을 지급하지 않습니다. 「연봉규정」 제33조에 따라 인사규정 제53조제1항 및 제2항의 강등·정직 처분기간 중에는 연봉월액 전액을 감합니다. 또한 해당 미지급 기간은 인사규정 제53조제1항·제2항의 처분기간으로 봅니다.,,급여규정_0069|급여규정_0156,"급여규정 별표 7 - 명예퇴직금 지급액 산정표 (제35조제2항 관련) [급여규정_0156]
급여규정 제33조 [급여규정_0069]","1. 급여규정_0156 (급여규정)
2. 급여규정_0068 (급여규정)
3. 급여규정_0154 (급여규정)
4. 급여규정_0148 (급여규정)
5. 급여규정_0070 (급여규정)","급여규정_0155 (chunk_no=155)
급여규정_0156 (chunk_no=156)
급여규정_0157 (chunk_no=157)
급여규정_0067 (chunk_no=67)
급여규정_0068 (chunk_no=68)
급여규정_0069 (chunk_no=69)
급여규정_0153 (chunk_no=153)
급여규정_0154 (chunk_no=154)
급여규정_0147 (chunk_no=147)
급여규정_0148 (chunk_no=148)
급여규정_0149 (chunk_no=149)
급여규정_0070 (chunk_no=70)
급여규정_0071 (chunk_no=71)",3.678,10.835,14.514
정직은 얼마나 지속되며 그 기간에 연봉은 어떻게 되나요?,,"핵심: 정직기간 중에는 연봉월액 전액을 감합니다(연봉이 지급되지 않음). 다만 정직의 구체적 기간(지속기간)은 제공된 급여규정 문서에 명시되어 있지 않으므로 확인이 필요합니다. 관련 규정은 ""인사규정 제53조 제1항·제2항""에 규정된 바이므로 해당 조항을 확인해 주십시오. 제공된 문서만으로는 정직의 기간을 확인하기 어렵습니다.",,급여규정_0069,급여규정 제33조 [급여규정_0069],"1. 급여규정_0068 (급여규정)
2. 급여규정_0051 (급여규정)
3. 급여규정_0074 (급여규정)
4. 급여규정_0062 (급여규정)
5. 급여규정_0141 (급여규정)","급여규정_0067 (chunk_no=67)
급여규정_0068 (chunk_no=68)
급여규정_0069 (chunk_no=69)
급여규정_0050 (chunk_no=50)
급여규정_0051 (chunk_no=51)
급여규정_0052 (chunk_no=52)
급여규정_0073 (chunk_no=73)
급여규정_0074 (chunk_no=74)
급여규정_0075 (chunk_no=75)
급여규정_0061 (chunk_no=61)
급여규정_0062 (chunk_no=62)
급여규정_0063 (chunk_no=63)
급여규정_0140 (chunk_no=140)
급여규정_0141 (chunk_no=141)
급여규정_0142 (chunk_no=142)",3.506,7.91,11.42
직원의 초임호봉은 무조건 1호봉인가요?,,"핵심: 초임호봉은 기본적으로 1호봉입니다. 다만 근무경력이 인정되는 경우에는 초임호봉에 그 경력을 가산하여 획정할 수 있습니다. 근거 문서들 간에 참조하는 별표가 상이하여(제16조는 ‘별표5’를, 시행 관련 호봉재획정 조문은 ‘별표4’를 언급) 어떤 별표가 신규채용자의 근무경력 인정에 최종적으로 적용되는지는 제공된 문서만으로는 확인하기 어렵습니다.",,급여규정_0034|급여규정_0105,"급여규정 제16조 [급여규정_0034]
급여규정 제2조 [급여규정_0105]","1. 급여규정_0034 (급여규정)
2. 급여규정_0038 (급여규정)
3. 급여규정_0105 (급여규정)
4. 급여규정_0136 (급여규정)
5. 급여규정_0145 (급여규정)","급여규정_0033 (chunk_no=33)
급여규정_0034 (chunk_no=34)
급여규정_0035 (chunk_no=35)
급여규정_0037 (chunk_no=37)
급여규정_0038 (chunk_no=38)
급여규정_0039 (chunk_no=39)
급여규정_0104 (chunk_no=104)
급여규정_0105 (chunk_no=105)
급여규정_0106 (chunk_no=106)
급여규정_0135 (chunk_no=135)
급여규정_0136 (chunk_no=136)
급여규정_0137 (chunk_no=137)
급여규정_0144 (chunk_no=144)
급여규정_0145 (chunk_no=145)
급여규정_0146 (chunk_no=146)",3.741,13.633,17.376
기능직3등급 13호봉의 급여가 궁금합니다.,,"기능직 3등급 13호봉의 봉급월액은 3,117,000원입니다. (별표 3 기준, 별표 2·3 등은 2025년 1월 1일부터 적용됩니다.)",,급여규정_0137|급여규정_0133,"급여규정 별표 3 - 직원 봉급액(기능직렬) [급여규정_0137]
급여규정 제2조 [급여규정_0133]","1. 급여규정_0137 (급여규정)
2. 급여규정_0134 (급여규정)
3. 급여규정_0029 (급여규정)
4. 급여규정_0027 (급여규정)
5. 급여규정_0003 (급여규정)","급여규정_0136 (chunk_no=136)
급여규정_0137 (chunk_no=137)
급여규정_0138 (chunk_no=138)
급여규정_0133 (chunk_no=133)
급여규정_0134 (chunk_no=134)
급여규정_0135 (chunk_no=135)
급여규정_0028 (chunk_no=28)
급여규정_0029 (chunk_no=29)
급여규정_0030 (chunk_no=30)
급여규정_0026 (chunk_no=26)
급여규정_0027 (chunk_no=27)
급여규정_0002 (chunk_no=2)
급여규정_0003 (chunk_no=3)
급여규정_0004 (chunk_no=4)",3.5,7.379,10.881
비밀기록물 원본을 생산부서에서 파기하여도 될까요?,,"아니요. 생산부서에서 비밀기록물 원본을 파기해서는 안 됩니다. 제공된 규정에 따르면 비밀기록물 원본은 생산부서에서 파기하지 않고, 아래의 사유가 발생한 다음 연도에 비밀기록물 이관절차에 따라 이관해야 합니다: 1) 일반문서로 재분류한 경우, 2) 예고문에 의하여 비밀보호기간이 만료된 경우, 3) 생산 후 30년이 경과한 경우. 또한 이관될 때까지는 비밀보관함에 보관하되 활용중인 비밀 등과 구분하여 관리해야 합니다.",,보안업무예규_0059|보안업무예규_0060,보안업무예규 제24조 [보안업무예규_0059],"1. 보안업무예규_0059 (보안업무예규)
2. 보안업무예규_0106 (보안업무예규)
3. 보안업무예규_0091 (보안업무예규)
4. 보안업무예규_0046 (보안업무예규)
5. 보안업무예규_0060 (보안업무예규)","보안업무예규_0058 (chunk_no=58)
보안업무예규_0059 (chunk_no=59)
보안업무예규_0060 (chunk_no=60)
보안업무예규_0105 (chunk_no=105)
보안업무예규_0106 (chunk_no=106)
보안업무예규_0107 (chunk_no=107)
보안업무예규_0090 (chunk_no=90)
보안업무예규_0091 (chunk_no=91)
보안업무예규_0092 (chunk_no=92)
보안업무예규_0045 (chunk_no=45)
보안업무예규_0046 (chunk_no=46)
보안업무예규_0047 (chunk_no=47)
보안업무예규_0061 (chunk_no=61)",3.676,10.522,14.2
2급 비밀의 복제를 제한하려고 합니다. 어떻게 해야하나요?,,"핵심요약: 비공개 또는 공개가 제한되는 공간정보는 원칙적으로 복제·출력이 금지됩니다. 예외적으로는 담당 권한자의 허가를 받아야 하며, 허가하여 복제·출력한 경우에는 경고문 표기 및 복제·출력대장 등 기록·관리 조치를 해야 합니다. 단, ‘2급 비밀’이 문서상의 ‘대외비 이상’ 또는 ‘비공개/공개제한’ 어느 범주에 해당하는지는 제공된 문서만으로는 확인하기 어렵습니다.

구체조치(제공된 규정 기준):
1) 원칙적 금지
 - 비공개 또는 공개가 제한되는 공간정보는 복제·출력할 수 없음(예외 규정이 있는 경우 제외).(근거: 공간정보보안업무예규 제12조)

2) 허가 필요(예외 상황)
 - 비공개 공간정보: 관리기관 장의 허가 필요
 - 공개가 제한되는 공간정보: 분임 공간정보 보안담당관의 허가 필요
   (허가가 있을 때에만 복제·출력 가능)(근거: 공간정보보안업무예규 제12조)

3) 복제·출력 시 조치
 - 복제·출력물에는 경고문(예: “이 자료는 관리책임자의 허가 없이 복제 복사할 수 없음”)을 표시
 - ‘대외비 이상’으로 분류된 공간정보는 예고문 부여 등 보호대책을 마련한 후 별지 제3호 서식의 공간정보자료 복제·출력대장에 기록하여야 함(근거: 공간정보보안업무예규 제12조)

4) 외부(민간시설) 이용시 추가절차
 - 민간시설을 이용하여 비밀을 인쇄·발간·복사하려면 보안업무 주관부서를 경유하여 관련 절차(문서상 제34조 등)를 밟아야 하고, 보안담당관은 비밀사전통제기록부를 비치·기록·유지해야 함. 또한 외부발간 전에 비밀 또는 대외비 분류 필요성 등 검토사항을 확인해야 함(근거: 보안업무예규 제49조 제1항·제2항 및 비밀사전통제기록부 규정).

다음 조치 권고(절차상 확인 필요)
 - 먼저 해당 문서(2급)가 조직의 분류체계에서 ‘비공개/공개제한’ 또는 ‘대외비 이상’에 해당하는지 확인하세요. (제공된 문서만으로는 2급과의 직접 대응 명확화가 어렵습니다.)
 - 분류가 확인되면 위 규정에 따라 권한자(관리기관 장 또는 분임 보안담당관)에게 복제 허가를 요청하고, 허가 시 경고문 표기 및 복제·출력대장 등 기록 절차를 이행하세요.

근거 문서: 공간정보보안업무예규 제12조(복제·출력 제한) 및 보안업무예규 제49조(외부발간 통제) 등.",,공간정보보안업무예규_0023|공간정보보안업무예규_0024|보안업무예규_0133|보안업무예규_0134|보안업무예규_0135,"보안업무예규 제49조 [보안업무예규_0133]
공간정보보안업무예규 제12조 [공간정보보안업무예규_0023]","1. 공간정보보안업무예규_0071 (공간정보보안업무예규)
2. 보안업무예규_0126 (보안업무예규)
3. 보안업무예규_0134 (보안업무예규)
4. 공간정보보안업무예규_0023 (공간정보보안업무예규)
5. 보안업무예규_0072 (보안업무예규)","공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)
보안업무예규_0125 (chunk_no=125)
보안업무예규_0126 (chunk_no=126)
보안업무예규_0127 (chunk_no=127)
보안업무예규_0133 (chunk_no=133)
보안업무예규_0134 (chunk_no=134)
보안업무예규_0135 (chunk_no=135)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)
공간정보보안업무예규_0024 (chunk_no=24)
보안업무예규_0071 (chunk_no=71)
보안업무예규_0072 (chunk_no=72)
보안업무예규_0073 (chunk_no=73)",3.858,24.866,28.727
지역본부의 사옥방호책임자는 누가 되나요?,,지역본부의 사옥방호책임자는 운영지원처장입니다.,,보안업무예규_0113,보안업무예규 제41조 [보안업무예규_0113],"1. 보안업무예규_0114 (보안업무예규)
2. 보안업무예규_0113 (보안업무예규)
3. 보안업무예규_0016 (보안업무예규)
4. 보안업무예규_0120 (보안업무예규)
5. 보안업무예규_0018 (보안업무예규)","보안업무예규_0113 (chunk_no=113)
보안업무예규_0114 (chunk_no=114)
보안업무예규_0115 (chunk_no=115)
보안업무예규_0112 (chunk_no=112)
보안업무예규_0015 (chunk_no=15)
보안업무예규_0016 (chunk_no=16)
보안업무예규_0017 (chunk_no=17)
보안업무예규_0119 (chunk_no=119)
보안업무예규_0120 (chunk_no=120)
보안업무예규_0121 (chunk_no=121)
보안업무예규_0018 (chunk_no=18)
보안업무예규_0019 (chunk_no=19)",3.733,3.581,7.317
"외부인 출입일지 보관 기간과, 기관이 경과 후 폐기는 마음대로 해도되는지 궁금합니다.",,"핵심: 외부인 출입일지(및 통제구역 출입대장)는 2년간 보관해야 하며, 보관기간 경과 후 연장하거나 폐기할 경우에는 기록물 관리부서와 미리 협의해야 하므로 임의로 폐기할 수 없습니다.",,보안업무예규_0126,보안업무예규 제46조 [보안업무예규_0126],"1. 보안업무예규_0126 (보안업무예규)
2. 보안업무예규_0036 (보안업무예규)
3. 보안업무예규_0059 (보안업무예규)
4. 보안업무예규_0134 (보안업무예규)
5. 공간정보보안업무예규_0071 (공간정보보안업무예규)","보안업무예규_0125 (chunk_no=125)
보안업무예규_0126 (chunk_no=126)
보안업무예규_0127 (chunk_no=127)
보안업무예규_0035 (chunk_no=35)
보안업무예규_0036 (chunk_no=36)
보안업무예규_0037 (chunk_no=37)
보안업무예규_0058 (chunk_no=58)
보안업무예규_0059 (chunk_no=59)
보안업무예규_0060 (chunk_no=60)
보안업무예규_0133 (chunk_no=133)
보안업무예규_0134 (chunk_no=134)
보안업무예규_0135 (chunk_no=135)
공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)",3.748,6.525,10.276
보안담당관은 보안감사결과를 누구에게 보고해야하나요?,,핵심: 보안담당관은 보안감사결과를 주무부장관에게 보고하고 국가정보원장에게 통보하여야 합니다.,,보안업무예규_0165,보안업무예규 제55조 [보안업무예규_0165],"1. 보안업무예규_0165 (보안업무예규)
2. 보안업무예규_0172 (보안업무예규)
3. 보안업무예규_0170 (보안업무예규)
4. 보안업무예규_0167 (보안업무예규)
5. 보안업무예규_0168 (보안업무예규)","보안업무예규_0164 (chunk_no=164)
보안업무예규_0165 (chunk_no=165)
보안업무예규_0166 (chunk_no=166)
보안업무예규_0171 (chunk_no=171)
보안업무예규_0172 (chunk_no=172)
보안업무예규_0173 (chunk_no=173)
보안업무예규_0169 (chunk_no=169)
보안업무예규_0170 (chunk_no=170)
보안업무예규_0167 (chunk_no=167)
보안업무예규_0168 (chunk_no=168)",3.665,4.928,8.595
"직원 신규채용시, 수습기간이 어떻게 되나요?",,"핵심: 신규채용 직원의 수습기간은 원칙적으로 3개월입니다. 다만 인사운영상 불가피한 경우, 채용형 인턴을 통해 입사한 경우 또는 해당 분야 경력을 인정받아 채용되는 경우에는 수습기간을 두지 않거나 그 기간을 단축할 수 있습니다. 수습기간 중 근무성적 등이 양호하면 수습기간 만료일 다음 날 정규 직원으로 임용된 것으로 보고, 근무성적 등이 불량하거나 채용에 부적격하다고 인정되는 경우에는 인사위원회 의결을 거쳐 직권 면직할 수 있습니다. 수습 및 경력관리와 관련한 기타 필요한 사항은 사장이 따로 정합니다.",,인사규정_0039|인사규정_0040|인사규정_0041,인사규정 제16조 [인사규정_0039],"1. 인사규정_0039 (인사규정)
2. 인사규정_0032 (인사규정)
3. 인사규정_0040 (인사규정)
4. 인사규정_0179 (인사규정)
5. 인사규정_0071 (인사규정)","인사규정_0038 (chunk_no=38)
인사규정_0039 (chunk_no=39)
인사규정_0040 (chunk_no=40)
인사규정_0031 (chunk_no=31)
인사규정_0032 (chunk_no=32)
인사규정_0033 (chunk_no=33)
인사규정_0041 (chunk_no=41)
인사규정_0178 (chunk_no=178)
인사규정_0179 (chunk_no=179)
인사규정_0180 (chunk_no=180)
인사규정_0070 (chunk_no=70)
인사규정_0071 (chunk_no=71)
인사규정_0072 (chunk_no=72)",3.642,7.156,10.8
파견 근무는 언제 가능한가요?,,"핵심: 사장은 다음 어느 하나에 해당하는 경우에 직원을 파견근무하게 할 수 있습니다. 1) 공사의 업무수행 또는 이와 관련한 업무지원을 위하여 필요한 경우, 2) 국내·외 장기연수 또는 교육훈련이 필요한 경우, 3) 국제기구 파견 또는 해외사업 수행을 위하여 외국에서 근무가 필요한 경우.",,인사규정_0066,인사규정 제26조 [인사규정_0066],"1. 인사규정_0066 (인사규정)
2. 여비규정_0034 (여비규정)
3. 여비규정_0038 (여비규정)
4. 인사규정_0068 (인사규정)
5. 인사규정_0067 (인사규정)","인사규정_0065 (chunk_no=65)
인사규정_0066 (chunk_no=66)
인사규정_0067 (chunk_no=67)
여비규정_0033 (chunk_no=33)
여비규정_0034 (chunk_no=34)
여비규정_0035 (chunk_no=35)
여비규정_0037 (chunk_no=37)
여비규정_0038 (chunk_no=38)
여비규정_0039 (chunk_no=39)
인사규정_0068 (chunk_no=68)
인사규정_0069 (chunk_no=69)",3.652,7.979,11.635
출산휴가와 육아휴직을 연계하여 사용할 수 있나요?,,네. 여성직원은 출산휴가와 육아휴직을 연계하여 동시에 신청할 수 있습니다. 또한 관련 휴직은 본인이 원할 경우 분할하여 명령(부여)할 수 있습니다.,,인사규정_0091|인사규정_0092,인사규정 제39조 [인사규정_0091],"1. 인사규정_0091 (인사규정)
2. 연차_휴가에_관한_예규_0020 (연차_휴가에_관한_예규)
3. 복무규정_0055 (복무규정)
4. 연차_휴가에_관한_예규_0016 (연차_휴가에_관한_예규)
5. 연차_휴가에_관한_예규_0017 (연차_휴가에_관한_예규)","인사규정_0090 (chunk_no=90)
인사규정_0091 (chunk_no=91)
인사규정_0092 (chunk_no=92)
연차_휴가에_관한_예규_0019 (chunk_no=19)
연차_휴가에_관한_예규_0020 (chunk_no=20)
연차_휴가에_관한_예규_0021 (chunk_no=21)
복무규정_0054 (chunk_no=54)
복무규정_0055 (chunk_no=55)
복무규정_0056 (chunk_no=56)
연차_휴가에_관한_예규_0015 (chunk_no=15)
연차_휴가에_관한_예규_0016 (chunk_no=16)
연차_휴가에_관한_예규_0017 (chunk_no=17)
연차_휴가에_관한_예규_0018 (chunk_no=18)",3.773,10.176,13.955
강등당하면 신분도 없어지나요?,,아니요. 강등은 신분을 잃는 것이 아니라 신분은 보유하되(신분 유지) 3개월간 직무에 종사하지 못한다고 규정되어 있습니다.,,인사규정_0124,인사규정 제53조 [인사규정_0124],"1. 인사규정_0098 (인사규정)
2. 인사규정_0079 (인사규정)
3. 인사규정_0124 (인사규정)
4. 인사규정_0038 (인사규정)
5. 인사규정_0050 (인사규정)","인사규정_0097 (chunk_no=97)
인사규정_0098 (chunk_no=98)
인사규정_0099 (chunk_no=99)
인사규정_0078 (chunk_no=78)
인사규정_0079 (chunk_no=79)
인사규정_0080 (chunk_no=80)
인사규정_0123 (chunk_no=123)
인사규정_0124 (chunk_no=124)
인사규정_0125 (chunk_no=125)
인사규정_0037 (chunk_no=37)
인사규정_0038 (chunk_no=38)
인사규정_0039 (chunk_no=39)
인사규정_0049 (chunk_no=49)
인사규정_0050 (chunk_no=50)
인사규정_0051 (chunk_no=51)",4.296,5.56,9.858
기능직 4등급의 승진소요 최저년수가 궁금합니다.,,"핵심: 제공된 문서만으로는 확인하기 어렵습니다.

이유: 인사규정 제21조 제1항은 ""승진소요최저연수는 별표 2와 같다""고 규정하고 있으나(인사규정_0056) 별표 2의 내용이 제공되지 않아 기능직 4등급의 구체적 승진소요최저연수를 확인할 수 없습니다. 별표 2 전체 내용을 제공해 주시거나 인사규정의 별표 2를 확인해 주시면 정확히 답변드리겠습니다.",,인사규정_0056,인사규정 제21조 [인사규정_0056],"1. 인사규정_0058 (인사규정)
2. 인사규정_0044 (인사규정)
3. 인사규정_0059 (인사규정)
4. 급여규정_0036 (급여규정)
5. 인사규정_0055 (인사규정)","인사규정_0057 (chunk_no=57)
인사규정_0058 (chunk_no=58)
인사규정_0059 (chunk_no=59)
인사규정_0043 (chunk_no=43)
인사규정_0044 (chunk_no=44)
인사규정_0045 (chunk_no=45)
인사규정_0060 (chunk_no=60)
급여규정_0035 (chunk_no=35)
급여규정_0036 (chunk_no=36)
급여규정_0037 (chunk_no=37)
인사규정_0054 (chunk_no=54)
인사규정_0055 (chunk_no=55)
인사규정_0056 (chunk_no=56)",3.923,9.09,13.014
공간정보 데이터베이스를 운영할 때 어떤 보호대책을 마련해야 하나요?,,"핵심: 공간정보 데이터베이스를 운영할 때는 훼손·파괴·유출 등을 방지하기 위한 보호대책을 마련해야 합니다. 구체적으로는 다음 사항들을 포함해야 합니다.

- 보안관리 책임자 지정(담당부서의 장)
- 데이터베이스 보관 시설에 대한 출입통제 등 외부로부터의 위해 방지
- 데이터베이스 복제본 관리대장 비치(복제본 관리)
- 공간정보자료(원시자료 및 이를 이용해 생산된 성과물 포함)에 대한 접근 권한 구분 및 설정
- 비공개 또는 공개가 제한되는 공간정보의 목록 관리 및 무단 열람·복제 방지
- 해킹 등 불법접근 및 컴퓨터바이러스 예방대책 마련
- 전자매체에 수록된 공간정보 자료의 열람·전송·출력 등 사용내역을 확인할 수 있도록 검색 시스템 구축 및 관리",,공간정보보안업무예규_0018|공간정보보안업무예규_0019|공간정보보안업무예규_0020,공간정보보안업무예규 제10조 [공간정보보안업무예규_0018],"1. 공간정보보안업무예규_0018 (공간정보보안업무예규)
2. 공간정보보안업무예규_0019 (공간정보보안업무예규)
3. 공간정보보안업무예규_0020 (공간정보보안업무예규)
4. 공간정보보안업무예규_0022 (공간정보보안업무예규)
5. 공간정보보안업무예규_0021 (공간정보보안업무예규)","공간정보보안업무예규_0017 (chunk_no=17)
공간정보보안업무예규_0018 (chunk_no=18)
공간정보보안업무예규_0019 (chunk_no=19)
공간정보보안업무예규_0020 (chunk_no=20)
공간정보보안업무예규_0021 (chunk_no=21)
공간정보보안업무예규_0022 (chunk_no=22)
공간정보보안업무예규_0023 (chunk_no=23)",3.407,9.388,12.797
비공개 또는 공개제한 공간정보를 외주용역으로 처리하려면 사전에 무엇을 해야 하나요?,,"핵심: 외주용역을 하기 전에 공간정보 보안담당관의 사전검토를 받고, 외주용역에 필요한 구체적인 보안대책을 마련해야 합니다. 구체적으로는 다음을 사전에 시행해야 합니다.

- 공간정보 보안담당관의 사전검토 시행
- 계약서에 비밀준수 및 공간정보 보호 의무와 위반 시 조치사항 명시
- 참여인원에 대한 신원확인, 서약 집행 및 보안교육 실시
- 작업장소를 통제구역 또는 제한구역으로 설정
- 용역 종료 시 성과물 및 제공된 자료 회수 계획 수립 및 이행
- 그 밖에 보안 관리에 필요한 조치 마련

추가로, ‘비밀’로 분류된 공간정보를 외주하는 경우에는 「보안업무규정 시행규칙」에 따라 비밀취급인가 특례업체로 지정된 업체를 이용해야 합니다.

제공된 문서에 근거한 답변입니다.",,공간정보보안업무예규_0025|공간정보보안업무예규_0026|공간정보보안업무예규_0027,공간정보보안업무예규 제13조 [공간정보보안업무예규_0025],"1. 공간정보보안업무예규_0025 (공간정보보안업무예규)
2. 공간정보보안업무예규_0026 (공간정보보안업무예규)
3. 공간정보보안업무예규_0035 (공간정보보안업무예규)
4. 공간정보보안업무예규_0027 (공간정보보안업무예규)
5. 공간정보보안업무예규_0036 (공간정보보안업무예규)","공간정보보안업무예규_0024 (chunk_no=24)
공간정보보안업무예규_0025 (chunk_no=25)
공간정보보안업무예규_0026 (chunk_no=26)
공간정보보안업무예규_0027 (chunk_no=27)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0028 (chunk_no=28)
공간정보보안업무예규_0037 (chunk_no=37)",3.511,13.932,17.454
외국인에게 공간정보 관련 업무를 맡길 때 필요한 보안조치는 무엇인가요?,,"핵심 요약: 외국인에게 공간정보 관련 업무를 맡길 경우 공간정보 보안담당관은 신원관리·보안교육·계약상의 비밀유지·접근통제 등 다음의 보안대책을 마련해야 하며, 보안상 유해한 사실이 확인되면 즉시 보호조치 후 관련 기관에 통보해야 합니다.

구체적 보안조치:
1) 신원 확인·신상기록 작성·유지, 보안교육 실시 및 서약 집행
2) 계약서에 기밀 누설·유출 시 해고 및 손해배상 책임 명시
3) 비공개 또는 공개가 제한되는 중요 공간정보 취급 및 보호구역 출입 차단(접근 통제)

추가 조치:
- 보안상 유해한 사실이 확인되면 공간정보에 대한 보호조치를 먼저 실시하고 국가정보원장과 주무부장관에게 관련사항을 통보해야 합니다.",,공간정보보안업무예규_0032|공간정보보안업무예규_0033,공간정보보안업무예규 제16조 [공간정보보안업무예규_0032],"1. 공간정보보안업무예규_0032 (공간정보보안업무예규)
2. 공간정보보안업무예규_0033 (공간정보보안업무예규)
3. 공간정보보안업무예규_0025 (공간정보보안업무예규)
4. 공간정보보안업무예규_0027 (공간정보보안업무예규)
5. 공간정보보안업무예규_0035 (공간정보보안업무예규)","공간정보보안업무예규_0031 (chunk_no=31)
공간정보보안업무예규_0032 (chunk_no=32)
공간정보보안업무예규_0033 (chunk_no=33)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0024 (chunk_no=24)
공간정보보안업무예규_0025 (chunk_no=25)
공간정보보안업무예규_0026 (chunk_no=26)
공간정보보안업무예규_0027 (chunk_no=27)
공간정보보안업무예규_0028 (chunk_no=28)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)",3.535,8.711,12.248
공간정보 보안교육은 얼마나 자주 실시해야 하나요?,,"핵심: 연 1회 이상 실시해야 합니다. 구체적으로는 공간정보 보안담당관이 보안교육계획을 수립하여 연 1회 이상 교육을 실시해야 하며, 특히 공간정보업무 취급자를 대상으로 연 1회 이상 교육을 실시해야 합니다. 필요하다고 인정되는 경우에는 수시교육도 실시할 수 있습니다.",,공간정보보안업무예규_0054|공간정보보안업무예규_0056,공간정보보안업무예규 제25조 [공간정보보안업무예규_0054],"1. 공간정보보안업무예규_0054 (공간정보보안업무예규)
2. 공간정보보안업무예규_0056 (공간정보보안업무예규)
3. 공간정보보안업무예규_0055 (공간정보보안업무예규)
4. 공간정보보안업무예규_0050 (공간정보보안업무예규)
5. 보안업무예규_0159 (보안업무예규)","공간정보보안업무예규_0053 (chunk_no=53)
공간정보보안업무예규_0054 (chunk_no=54)
공간정보보안업무예규_0055 (chunk_no=55)
공간정보보안업무예규_0056 (chunk_no=56)
공간정보보안업무예규_0057 (chunk_no=57)
공간정보보안업무예규_0049 (chunk_no=49)
공간정보보안업무예규_0050 (chunk_no=50)
공간정보보안업무예규_0051 (chunk_no=51)
보안업무예규_0158 (chunk_no=158)
보안업무예규_0159 (chunk_no=159)
보안업무예규_0160 (chunk_no=160)",3.437,11.988,15.427
공간정보 보안사고 조사가 진행 중일 때 사고 내용을 공개해도 되나요?,,"핵심: 아니요. 공간정보 보안사고에 대한 조사가 끝날 때까지 사고 관련 내용을 공개해서는 안 됩니다. 근거: ""공간정보 보안담당관은 제1항의 보안사고에 대한 필요한 자료의 제공 등 보안조사에 성실히 협조하고 이에 대한 조사가 끝날 때까지 관련 내용을 공개하지 아니한다."" 따라서 조사 진행 중에는 담당관의 지시에 따라 관련 내용을 비공개로 유지해야 합니다.",,공간정보보안업무예규_0058,공간정보보안업무예규 제26조 [공간정보보안업무예규_0058],"1. 공간정보보안업무예규_0057 (공간정보보안업무예규)
2. 공간정보보안업무예규_0058 (공간정보보안업무예규)
3. 공간정보보안업무예규_0068 (공간정보보안업무예규)
4. 공간정보보안업무예규_0035 (공간정보보안업무예규)
5. 공간정보보안업무예규_0071 (공간정보보안업무예규)","공간정보보안업무예규_0056 (chunk_no=56)
공간정보보안업무예규_0057 (chunk_no=57)
공간정보보안업무예규_0058 (chunk_no=58)
공간정보보안업무예규_0059 (chunk_no=59)
공간정보보안업무예규_0067 (chunk_no=67)
공간정보보안업무예규_0068 (chunk_no=68)
공간정보보안업무예규_0069 (chunk_no=69)
공간정보보안업무예규_0034 (chunk_no=34)
공간정보보안업무예규_0035 (chunk_no=35)
공간정보보안업무예규_0036 (chunk_no=36)
공간정보보안업무예규_0070 (chunk_no=70)
공간정보보안업무예규_0071 (chunk_no=71)
공간정보보안업무예규_0072 (chunk_no=72)",3.46,10.356,13.818
