query_id,query,gold_answer,gold_chunks
Q050,"출장을 다녀온 뒤 여비 정산은 언제까지 해야 하나요?","출장을 마친 날의 다음 날부터 기산하여 1주일 이내에 운임과 숙박비의 세부 사용내용을 확인할 수 있는 증거서류를 갖추어 회계 관계 직원에게 정산을 신청해야 합니다.","여비규정_0008"
Q051,"하루만 출장 가는 경우 출장비는 얼마인가요?","1일 출장의 경우 20,000원을 지급합니다. 다만, 현장업무 외의 사유로 공사차량 또는 임차차량을 이용하는 경우에는 10,000원을 감액하여 지급합니다.","여비규정_0021"
Q052,"연차를 시간 단위로 사용할 수 있나요?","연차휴가는 1일 단위 사용이 원칙이지만, 업무에 지장이 없는 범위에서 시간 단위로 나누어 사용할 수 있습니다. 이 경우 8시간의 연차휴가 사용은 연차휴가 1일로 계산합니다.","연차_휴가에_관한_예규_0020"
Q053,"사용하지 못한 연차는 다음 해로 저축할 수 있나요?","업무로 인해 부득이하게 사용하지 못한 연차는 매년 7일 이내로 최대 5년까지 저축할 수 있으며, 저축한도는 최대 20일입니다. 저축한 연차를 사용하지 않은 경우에는 보상하지 않습니다.","연차_휴가에_관한_예규_0025"
Q054,"입사한 지 1년이 안 됐는데도 연차가 생기나요?","네. 계속하여 근로한 기간이 1년 미만인 경우에는 1개월 개근 시 1일의 연차휴가를 부여합니다.","연차_휴가에_관한_예규_0005"
Q055,"연차를 다 썼는데 다음 연도 연차를 미리 사용할 수 있나요?","네. 연차가 없거나 잔여 연차가 부족한 경우 소속기관장은 재직기간에 따라 다음 연도 연차를 미리 사용하게 할 수 있습니다. 미리 사용 가능한 최대 일수는 재직기간에 따라 1년 미만 5일, 1~2년 미만 6일, 2~3년 미만 7일, 3~4년 미만 8일, 4년 이상 10일입니다.","복무규정_0035"
Q056,"교통사고 때문에 지각한 경우에도 지각으로 처리되나요?","비상재해, 교통사고 등 본인의 책임에 귀속하지 않는 사유로 지각한 경우에는 지각하지 않은 것으로 봅니다.","복무규정_0015"
Q057,"회사에서 사용할 수 있는 휴가에는 어떤 종류가 있나요?","직원의 휴가는 연차휴가, 병가, 공가 및 특별휴가로 구분합니다.","복무규정_0029"
Q058,"승진후보자 순위는 어떤 기준으로 정해지나요?","3급 무보직자 이하 승진후보자명부는 근무성적평정 70점과 경력평정 30점을 합산한 총 100점을 기준으로 작성합니다.","승진임용규칙_0005"
Q059,"자격증이 있으면 승진할 때 가점을 받을 수 있나요?","직무에 필요한 자격증을 소지한 경우 별표 2의 구분에 따라 직렬별로 가점을 받을 수 있습니다.","승진임용규칙_0049"
Q060,"항공편으로 출장하는 경우 숙박비도 지급되나요?","원칙적으로 항공여행에는 숙박비를 지급하지 않습니다. 다만, 천재지변이나 그 밖의 부득이한 사유로 육지에서 숙박할 필요가 있는 경우에는 숙박비를 지급합니다.","여비규정_0018"
Q061,"집에서 출장지로 바로 출발해도 여비를 받을 수 있나요?","네. 근무지 또는 출장지 외의 곳에 거주하거나 체재하는 직원이 그곳에서 목적지까지 직접 여행하는 경우에는 여비를 지급합니다. 다만, 지급되는 여비는 근무지 또는 출장지에서 목적지까지의 여비를 초과할 수 없습니다.","여비규정_0005"
Q062,"연차를 신청하면 무조건 사용할 수 있나요?","소속장은 휴가원이 제출된 경우 업무상 특별한 지장이 없는 한 허가해야 합니다. 다만, 부득이한 사유로 허가할 수 없는 경우에는 1차에 한정하여 휴가 시기를 변경할 수 있습니다.","연차_휴가에_관한_예규_0022"
Q063,"연차 기간에 휴일이 포함되면 그날도 연차에서 차감되나요?","아니요. 휴가기간 중의 휴일은 휴가일수에 포함하지 않습니다.","연차_휴가에_관한_예규_0023"
Q064,"사내 다른 기관으로 파견되면 최대 얼마 동안 근무할 수 있나요?","대내기관의 파견근무기간은 6개월 이내입니다. 다만, 부득이한 사유가 있는 경우 1차에 한정하여 연장할 수 있으며, 연장기간을 합산해 1년을 초과할 수 없습니다.","인사규정_0067"
Q065,"회사에서 다른 직을 겸직할 수 있나요?","원칙적으로 직원은 2개 이상의 직을 겸직할 수 없습니다. 다만, 업무형편상 부득이한 경우에는 예외가 인정됩니다.","인사규정_0069"
Q066,"회사의 기본 근무시간은 어떻게 되나요?","직원의 근로시간은 1일 8시간, 1주 40시간이며, 근무시간은 9시부터 18시까지입니다.","복무규정_0005"
Q067,"출장 중 정해진 기간 안에 업무를 끝내지 못할 것 같으면 어떻게 해야 하나요?","지정된 출장일 안에 임무를 완수하지 못할 사유가 발생한 경우에는 전화, 전보, 그 밖의 방법으로 소속장에게 보고하고 지시를 받아야 합니다.","복무규정_0024"
Q068,"출장이 끝나면 출장 결과를 따로 보고해야 하나요?","출장이 끝난 때에는 지체 없이 출장복명서를 소속장에게 제출해야 합니다. 다만, 용무의 성질이 경미한 경우에는 구두로 결과보고할 수 있습니다.","복무규정_0025"
Q069,"육아기 근로시간 단축을 사용하면 일주일에 몇 시간까지 근무할 수 있나요?","육아기 근로시간 단축 후 근로시간은 주당 15시간 이상이어야 하며 35시간을 초과할 수 없습니다.","복무규정_0056"
Q070,"표창을 받으면 승진평정에서 가점을 받을 수 있나요?","표창규칙에 따른 표창 또는 직무와 관련하여 해당 직급에서 받은 표창은 승진평정 시 가점으로 반영합니다. 다만, 소속장의 추천이 없는 표창, 감사장 또는 감사패, 징계 감경에 사용된 표창은 가점하지 않습니다.","승진임용규칙_0048"
Q071,"징계를 받으면 승진할 때 점수가 깎이나요?","네. 징계규칙에 따라 징계를 받은 직원은 해당 직급에서 징계 종류에 따라 승진평정 점수가 감점됩니다.","승진임용규칙_0051"
Q072,"사내강사로 강의한 시간도 승진에 필요한 교육시간으로 인정되나요?","네. 사내강사로서 강의 실적이 있는 경우에는 해당 강의시간에 상응하는 시간을 교육이수시간으로 인정합니다.","승진임용규칙_0036"
Q073,"국토정보직 3급 시험승진은 어떤 절차로 진행되나요?","1단계에서 시험성적 70퍼센트와 근무성적평정 점수 30퍼센트를 합산하여 3배수를 결정하고, 2단계에서 3배수 이내 다면평가를 거쳐 Pass 또는 Fail을 결정한 뒤, 3단계에서 1배수 대상 임원면접으로 Pass 또는 Fail을 결정합니다.","승진임용규칙_0077"
Q074,"출장으로 쌓인 항공마일리지는 다음 출장 때 사용해야 하나요?","공무상 여행으로 적립한 공적 항공마일리지로 항공권을 확보하거나 좌석 등급을 상향할 수 있는 경우에는 공적 항공마일리지를 우선적으로 사용해야 합니다.","여비규정_0015"
Q075,"같은 지역에 장기간 출장하면 일비가 줄어드나요?","네. 같은 곳에 장기간 체재하는 경우 15일을 초과한 일수에는 일비 정액의 10분의 1, 30일을 초과한 일수에는 10분의 2, 60일을 초과한 일수에는 10분의 3에 해당하는 금액을 빼고 지급합니다.","여비규정_0019"
Q076,"전보로 다른 지역에 이사하면 이사비용을 지원받을 수 있나요?","부임여비를 지급받는 직원이 신임지로 거주지와 이사 화물을 이전한 경우에는 별표 2에 따른 이전비를 지급할 수 있습니다.","여비규정_0025"
Q077,"외부기관에서 출장비를 일부 지원받으면 회사 출장비도 전액 받을 수 있나요?","아니요. 외부로부터 여비의 전부 또는 일부를 지급받은 경우에는 회사 규정에 따른 여비에서 외부로부터 지급받은 금액을 빼고 지급합니다.","여비규정_0012"
Q078,"연도 중간에 입사하면 다음 해 연차는 어떻게 계산되나요?","회계연도 중 입사자의 다음연도 연차휴가는 회계연도별로 부여된 연차일수와 전년도 근속기간에 비례한 연차일수를 합하여 산출합니다. 근속기간 비례 연차는 15일에 근속일수를 곱하고 소정근로일수로 나누어 계산합니다.","연차_휴가에_관한_예규_0009"
Q079,"육아휴직을 사용한 기간도 연차 계산할 때 출근한 것으로 보나요?","네. 육아휴직기간은 연차휴가일수를 산정할 때 출근한 것으로 봅니다.","연차_휴가에_관한_예규_0016"
Q080,"근속연수가 늘어나면 연차는 최대 며칠까지 받을 수 있나요?","80퍼센트 이상 출근한 경우 근속연수에 따라 연차휴가가 늘어나며, 21년 이상 근속 시 25일이고 이후에도 최대 25일까지 부여됩니다.","연차_휴가에_관한_예규_0030"
Q081,"퇴직할 때 입사일 기준 연차보다 적게 부여받았다면 보상받을 수 있나요?","네. 퇴직 시 입사일을 기준으로 한 연차유급휴가일수보다 회계연도 기준 연차유급휴가일수가 적은 경우에는 부족한 일수만큼 수당으로 보상합니다.","연차_휴가에_관한_예규_0026"
Q082,"신입 직원은 수습기간이 얼마나 되나요?","신규채용 직원의 수습기간은 원칙적으로 3개월입니다. 다만, 인사운영상 불가피한 경우나 채용형인턴을 통해 입사한 경우, 해당 분야 경력을 인정받아 채용된 경우에는 수습기간을 두지 않거나 단축할 수 있습니다.","인사규정_0039"
Q083,"직원의 정년은 몇 살인가요?","직원의 정년은 60세입니다.","인사규정_0103"
Q084,"출산휴가와 육아휴직을 한 번에 같이 신청할 수 있나요?","네. 여성직원은 복무규정에 따른 출산휴가와 육아휴직을 연계하여 동시에 신청할 수 있습니다.","인사규정_0091"
Q085,"담당자가 직무를 수행할 수 없거나 자리가 비어 있으면 누가 대신하나요?","단위기관에서 직원이 직무를 수행할 수 없는 사고가 발생하거나 결원이 있는 경우에는 차하위 직급자가 직무를 대리할 수 있습니다.","인사규정_0064"
