문서,페이지,종류,내용
공간정보보안업무예규.json,2,paragraph,<br><p id='16' data-category='paragraph' style='font-size:20px'>③ 제2항의 분임공간정보 보안담당관은 공간정보 보안담당관의 지휘·감독하에 해당 소속<br>또는 업무에 속하는 범위에서 공간정보 보안담당관의 임무를 수행하게 할 수 있다.<br>제6조(공간정보 보안담당관의 임무) ① 공간정보 보안담당관의 임무는 다음과 같다.</p>
공간정보보안업무예규.json,2,list,<br><p id='17' data-category='list' style='font-size:16px'>1. 공간정보 보안업무 계획 수립 및 시행<br>2. 공간정보의 생산·구축·관리·유통 및 활용에 따른 보안대책 마련<br>3. 공간정보의 보안 관리를 위한 감사·지도·점검 및 교육<br>4. 공간정보 보안심사위원회의 운영 및 관리<br>5. 그 밖에 공간정보 관련 보안업무</p>
공간정보보안업무예규.json,2,paragraph,<br><p id='18' data-category='paragraph' style='font-size:20px'>② 공간정보 보안담당관이 공석중인 경우에는 차하위자가 그 직무를 대행한다.<br>제7조(공간정보 보안 심의위원회의) ① 공간정보 보안업무 수행에 필요한 사항을 심의·<br>의결하기 위하여 공간정보 보안심사위원회(이하 &#34;위원회&#34;라 한다)를 다음과 같이 운영한<br>다.</p>
공간정보보안업무예규.json,2,paragraph,"<br><p id='19' data-category='paragraph' style='font-size:20px'>1. 위원장: 기획혁신본부장<br>2. 부위원장: AI디지털전략실장<br>3. 위원: 지적사업실장, 지적재조사처장, 공간정보실장, 글로벌사업처장, 경영지원실<br>장.</p>"
공간정보보안업무예규.json,2,paragraph,<br><p id='20' data-category='paragraph' style='font-size:20px'>② 위원회는 다음 각 호의 사항에 대해 심의·의결한다.</p>
공간정보보안업무예규.json,2,list,<br><p id='21' data-category='list' style='font-size:16px'>1. 공간정보 보안업무 계획의 수립 및 추진에 관한 사항<br>2. 비공개·공개제한 공간정보의 재분류에 관한 사항<br>3. 비공개·공개제한 공간정보의 공개여부 및 공개 활용에 따른 보안대책<br>4. 그 밖에 공간정보 보안업무에 관한 주요 사항</p>
공간정보보안업무예규.json,2,paragraph,"<br><p id='22' data-category='paragraph' style='font-size:20px'>③ 위원회는 재적위원 과반수의 출석으로 개회하고 출석위원 과반수의 찬성으로 의결한<br>다. 다만, 위원회의 소집이 곤란하거나 긴급한 조치가 필요한 경우에는 서면 의결로서 갈<br>음할 수 있다.<br>④ 위원회는 제출된 안건의 심의에 필요한 경우 관계자를 출석시켜 의견을 진술하게 할<br>수 있다.</p>"
공간정보보안업무예규.json,2,paragraph,<p id='23' data-category='paragraph' style='font-size:14px'>제3장 공간정보의 보호 및 관리</p>
공간정보보안업무예규.json,2,paragraph,<p id='24' data-category='paragraph' style='font-size:20px'>제8조(공간정보의 분류) ① 공간정보는 다음 각 호의 기본 분류기준에 따라 구분하여 관<br>리하여야 한다.</p>
공간정보보안업무예규.json,2,heading1,<br><h1 id='25' style='font-size:16px'>1. 비공개 공간정보</h1>
공간정보보안업무예규.json,2,paragraph,<br><p id='26' data-category='paragraph' style='font-size:20px'>가. 공개될 경우 국가안보에 유해로운 결과를 초래할 우려가 있다고 인정되어 비밀</p>
공간정보보안업무예규.json,3,paragraph,<p id='27' data-category='paragraph' style='font-size:14px'>로 분류된 공간정보</p>
공간정보보안업무예규.json,3,paragraph,<br><p id='28' data-category='paragraph' style='font-size:18px'>나. 법률 또는 법률에 의한 명령에 따라 비공개 사항으로 규정된 공간정보</p>
공간정보보안업무예규.json,3,heading1,<br><h1 id='29' style='font-size:14px'>2. 공개가 제한되는 공간정보</h1>
공간정보보안업무예규.json,3,paragraph,<br><p id='30' data-category='paragraph' style='font-size:18px'>가. 공개될 경우 공공의 안전과 이익을 해할 우려가 있다고 인정되는 공간정보<br>나. 공개될 경우 개인정보를 침해할 우려가 있는 공간정보<br>다. 그 밖에 공개될 경우 관리기관의 업무수행에 지장을 초래한다고 인정되는 공간<br>정보</p>
공간정보보안업무예규.json,3,heading1,<br><h1 id='31' style='font-size:14px'>3. 공개 공간정보</h1>
공간정보보안업무예규.json,3,paragraph,<br><p id='32' data-category='paragraph' style='font-size:18px'>가. 제1호와 제2호 이외의 공간정보<br>나. 제2호 나목에 해당하는 공간정보에 포함된 개인정보의 일부 또는 전부를 삭제<br>하는 방법 등으로 보안 처리하여 공개될 경우 개인정보를 침해할 우려가 없는 공간<br>정보</p>
공간정보보안업무예규.json,3,paragraph,"<br><p id='33' data-category='paragraph' style='font-size:18px'>② 공간정보를 분류할 때에는 별표 1에 따라 세부 분류 기준별로 &#34;비공개&#34;, &#34;공개제한&#34;,<br>&#34;공개&#34;로 분류하고 별지 제1호서식의 공간정보관리대장에 관리하여야 한다.</p>"
공간정보보안업무예규.json,3,paragraph,<br><p id='34' data-category='paragraph' style='font-size:18px'>제9조(공간정보의 취급) ① 비공개 또는 공개가 제한되는 공간정보는 업무상 관련이 있<br>는 사람에 한하여 취급할 수 있다.<br>② 비밀로 분류된 공간정보 보안관리는 공사 「보안업무예규」 를 따른다.<br>제10조(공간정보데이터베이스의 보호) ① 공간정보데이터베이스를 운영할 경우 공간정보<br>데이터베이스의 훼손·파괴·유출 등을 방지하기 위한 보호대책을 마련하여야 한다.</p>
공간정보보안업무예규.json,3,heading1,<br><h1 id='35' style='font-size:18px'>② 제1항의 보호대책에 포함되어야 할 사항은 다음 각 호와 같다.</h1>
공간정보보안업무예규.json,3,paragraph,<br><p id='36' data-category='paragraph' style='font-size:18px'>1. 보안관리 책임자 지정: 담당부서의 장<br>2. 데이터베이스 보관 시설에 대한 출입통제 등 외부로부터 위해 방지<br>3. 별지 제2호서식의 데이터베이스 복제본 관리대장 비치<br>4. 공간정보자료(원시자료 및 원시자료를 이용하여 생산한 성과물포함)에 대한 접근<br>권한을 구분하여 설정<br>5. 비공개 또는 공개가 제한되는 공간정보 자료목록 관리 및 무단 열람과 복제 여부<br>6. 해킹 등 불법접근 및 컴퓨터바이러스 예방대책 마련</p>
공간정보보안업무예규.json,3,paragraph,"<br><p id='37' data-category='paragraph' style='font-size:18px'>③ 전자매체에 수록된 공간정보 자료는 열람·전송·출력 등 사용내역 을 확인할 수 있도록<br>검색 시스템을 구축하여 관리해야 한다.<br>제11조(공간정보유통망 관리) ① 공간정보 유통관리기구 설치 및 운영 시 공간정보의<br>위·변조, 불법유출 등을 방지하기 위하여 공간정보 유통망에 대한 보호대책을 수립하여<br>시행하여야 한다.<br>② 제1항의 보호대책에 포함되어야 할 사항은 다음 각 호와 같다.</p>"
공간정보보안업무예규.json,4,paragraph,"<p id='38' data-category='paragraph' style='font-size:18px'>1. 보안관리 책임자 지정: 담당부서의 장<br>2. 침입차단시스템 설치, 운용<br>3. 해킹 및 컴퓨터바이러스 예방대책 마련<br>4. 비밀로 분류된 공간정보 유통 시 암호자재 사용 등 「정보보안 업무지침」 제21조<br>에 따른 보안대책 마련</p>"
공간정보보안업무예규.json,4,list,<br><p id='39' data-category='list'></p>
공간정보보안업무예규.json,4,paragraph,"<br><p id='40' data-category='paragraph' style='font-size:18px'>5. 유통망의 취약점, 중요공간정보 무단 포함 여부 등에 대한 주기적 분석 및 점검<br>제12조(공간정보의 복제·출력 등 제한) ① 비공개 또는 공개가 제한되는 공간정보는 다<br>음 각 호의 경우를 제외하고는 복제 또는 출력할 수 없다.</p>"
공간정보보안업무예규.json,4,list,<br><p id='41' data-category='list' style='font-size:18px'>1. 「국가공간정보 기본법 시행령」 제25조에 따라 복제·관리하는 경우<br>2. 비공개 공간정보는 관리기관 장의 허가를 받은 때<br>3. 공개가 제한되는 공간정보는 분임 공간정보 보안담당관의 허가를 받은 때</p>
공간정보보안업무예규.json,4,heading1,<br><h1 id='42' style='font-size:18px'>② 제1항에 따라 공간정보를 복제·출력한 때에는 경고문(</h1>
공간정보보안업무예규.json,4,heading1,<h1 id='43' style='font-size:14px'>이 자료는 관리책임자의 허가 없이 복제 복사할 수 없음</h1>
공간정보보안업무예규.json,4,paragraph,<br><p id='44' data-category='paragraph' style='font-size:18px'>)</p>
공간정보보안업무예규.json,4,paragraph,"<br><p id='45' data-category='paragraph' style='font-size:18px'>을 표시하고, 대외비 이상으로 분류된 공</p>"
공간정보보안업무예규.json,4,paragraph,<br><p id='46' data-category='paragraph' style='font-size:18px'>간정보는 예고문 부여 등 보호대책을 마련한 후 별지 제3호 서식의 공간정보자료 복제·<br>출력대장에 기록하여야 한다.<br>제13조(공간정보의 외주용역) ① 비공개 또는 공개가 제한되는 공간정보의 생산·구축·관<br>리 등을 위하여 외주용역 하고자 할 경우에는 다음 각 호의 보안대책을 마련 후 공간정<br>보 보안담당관의 사전검토를 받아야 한다.</p>
공간정보보안업무예규.json,4,paragraph,"<br><p id='47' data-category='paragraph' style='font-size:14px'>1. 계약서에 법 제38조에 따른 비밀 준수 및 공간정보 보호 의무와 위반시 조치사항<br>명시<br>2. 참여인원에 대한 신원확인, 서약집행 및 보안교육<br>3. 작업장소를 통제구역 또는 제한구역으로 설정<br>4. 용역종료 시 성과물과 제공된 각종 자료 회수<br>5. 그 밖에 보안 관리를 위해 필요한 사항</p>"
공간정보보안업무예규.json,4,list,<br><p id='48' data-category='list'></p>
공간정보보안업무예규.json,4,paragraph,<br><p id='49' data-category='paragraph' style='font-size:18px'>② 비밀로 분류된 공간정보의 외주 용역 시 「보안업무규정 시행규칙」 제13조에 따라 비<br>밀취급인가 특례업체로 지정된 업체를 이용해야 한다.<br>③ 공간정보를 외주용역 할 때에는 미리 보안책임자를 지정하여 용역업체에 대한 보안관<br>리 실태를 파악하여 대책을 강구한다.<br>제14조(보호구역 설정 및 출입통제) ① 공간정보의 보호를 위하여 필요한 경우 보호구역<br>을 설정할 수 있다.<br>② 제1항의 보호구역에 대하여는 관리책임자를 지정하고 다음의 보호대책을 마련하여야<br>한다.</p>
공간정보보안업무예규.json,5,paragraph,"<p id='50' data-category='paragraph' style='font-size:18px'>1. 출입 인가자를 사전에 지정하고, 비인가자는 관리책임자의 허가를 받은 후 안내를<br>받아 출입</p>"
공간정보보안업무예규.json,5,paragraph,"<br><p id='51' data-category='paragraph' style='font-size:18px'>2. 무단출입 방지를 위해 출입문에 생체·카드 인식기 및 자동잠금장치 설치<br>3. 모든 출입자는 출입통제 대장에 출입사항을 기록. 단, 생체·자동인식기 등을 통한<br>자동출입기록으로 대체가 가능하다.<br>4. 출입구에 CCTV를 설치하고 특이사항 발생 시 관리책임자에게 즉시 통보될 수 있<br>도록 상황전파체계 구축<br>5. 비인가 카메라·휴대폰·휴대용 저장매체 등의 보관 용기를 출입구에 비치하여 불법<br>촬영 및 자료유출 방지</p>"
공간정보보안업무예규.json,5,paragraph,<br><p id='52' data-category='paragraph' style='font-size:18px'>제15조(비공개 또는 공개가 제한되는 공간정보의 국외반출 금지) ① 비공개 또는 공개가<br>제한되는 공간정보는 다음 각 호의 경우를 제외하고는 국외로 반출할 수 없다.</p>
공간정보보안업무예규.json,5,paragraph,<br><p id='53' data-category='paragraph' style='font-size:18px'>1. 대한민국 정부와 외국정부 간에 체결된 협정 또는 합의에 따라 상호 교환하는 경<br>우<br>2. 정부를 대표하여 외국정부와 교섭하거나 국제회의 또는 국제기구에 참석하는 자가<br>자료로 사용하기 위하여 반출하는 경우</p>
공간정보보안업무예규.json,5,paragraph,<br><p id='54' data-category='paragraph' style='font-size:18px'>② 제1항에 따라 공간정보를 국외로 반출하고자 할 때에는 미리 주무부장관의 승인을 받<br>아야 한다.<br>제16조(외국인 보안관리) ① 공간정보 보안담당관은 외국인을 공간정보 관련 업무에 종<br>사하게 할 경우에는 다음 각 호의 보안대책을 마련해야 한다.</p>
공간정보보안업무예규.json,5,paragraph,"<br><p id='55' data-category='paragraph' style='font-size:18px'>1. 신원 확인, 신상기록부 작성·유지, 보안교육 및 서약 집행<br>2. 계약서에 기밀 누설·유출 시 해고 및 손해 배상 책임 명시<br>3. 비공개 등 중요 공간정보 취급 및 보호구역 출입 차단 대책</p>"
공간정보보안업무예규.json,5,paragraph,"<br><p id='56' data-category='paragraph' style='font-size:18px'>② 공간정보 보안담당관은 외국인에 대한 보안상 유해로운 사실이 확인된 때에는 공간정<br>보에 대한 보호조치를 먼저하고, 국가정보원장과 주무부장관에게 관련사항을 통보해야 한<br>다.<br>제17조(안전반출 및 파기계획) 공간정보의 안전반출 및 파기계획은 별표 2와 같다.<br>제18조(공개제한 공간정보의 활용) ① 공간정보 보안담당관은 소관 공개가 제한되는 공<br>간정보에 대해 학술연구, 공공복리 및 안전 등의 목적으로 공개를 요청받은 경우에는 다<br>음 각 호의 사항을 확인·검토하여 제공할 수 있다.</p>"
공간정보보안업무예규.json,5,list,"<br><p id='57' data-category='list' style='font-size:14px'>1. 성명, 주소, 생년월일 등 신원사항<br>2. 소속 기관·단체 및 직책<br>3. 사용목적 및 타당성<br>4. 활용 후 관리대책</p>"
공간정보보안업무예규.json,6,paragraph,"<p id='58' data-category='paragraph' style='font-size:16px'>제19조(비공개 공간정보의 공개 요건) 비공개 공간정보는 공개하여서는 아니 된다. 다만,<br>공개할 필요성이 있는 경우 공개할 자료의 내용과 공개 목적·시기 및 방법 등에 대해 주<br>무부장관의 승인을 받아야 한다.<br>제20조(비공개 또는 공개제한 공간정보의 재분류) ① 비공개 또는 공개가 제한되는 공간<br>정보는 기간의 경과 등으로 인하여 비공개 또는 공개제한의 필요성이 없어진 경우에 공<br>개 대상으로 재분류 될 수 있다.</p>"
공간정보보안업무예규.json,6,paragraph,<br><p id='59' data-category='paragraph' style='font-size:16px'>② 비밀로 분류된 공간정보는 「보안업무규정」 제15조에 따라 재분류한다.</p>
공간정보보안업무예규.json,6,paragraph,<p id='60' data-category='paragraph' style='font-size:14px'>제4장 초경량비행장치 등</p>
공간정보보안업무예규.json,6,paragraph,<p id='61' data-category='paragraph' style='font-size:20px'>제21조(항공사진의 수집) 항공사진 촬영에 대하여는 다음 단계별 사항에 따라야 한다.</p>
공간정보보안업무예규.json,6,paragraph,<br><p id='62' data-category='paragraph' style='font-size:16px'>1. 계획단계: 항공사진 촬영에 대한 일정 및 촬영조건을 계획하는데 있어 다음 각 호<br>의 사항을 확인·검토하여야 한다.</p>
공간정보보안업무예규.json,6,table,<br><table id='63' style='font-size:16px'><thead></thead><tbody><tr><td>가.</td><td>촬영 대상지의 비행승인 여부</td></tr><tr><td>나.</td><td>촬영 대상지의 촬영승인 여부</td></tr></tbody></table>
공간정보보안업무예규.json,6,paragraph,<br><p id='64' data-category='paragraph' style='font-size:16px'>2. 촬영단계: 장비(초경량비행장치 등)를 이용하여 대상물을 촬영하는데 있어 다음<br>각 호의 사항을 확인·검토하여야 한다.</p>
공간정보보안업무예규.json,6,table,<br><table id='65' style='font-size:16px'><thead></thead><tbody><tr><td>가. 항공안전법에서</td><td>정한 초경량비행장치 조종자등의 준수사항</td></tr><tr><td>나. 국가보안법에서</td><td>정한 주요시설물 촬영 여부</td></tr></tbody></table>
공간정보보안업무예규.json,6,paragraph,<br><p id='66' data-category='paragraph' style='font-size:16px'>3. 처리단계: 촬영된 영상을 처리·가공하는데 있어 다음 각 호의 사항을 확인·검토하<br>여야 한다.</p>
공간정보보안업무예규.json,6,list,<br><p id='67' data-category='list' style='font-size:16px'>가. 영상 취급자에 대한 별지 제5호서식의 보안서약서 작성 여부<br>나. 국가보안법에서 정한 주요시설물 촬영 여부</p>
공간정보보안업무예규.json,6,paragraph,<br><p id='68' data-category='paragraph' style='font-size:16px'>4. 작성단계: 가공되어 작성되어진 결과물에 대하여 다음 각 호의 사항을 확인·검토하<br>여야 한다.</p>
공간정보보안업무예규.json,6,list,<br><p id='69' data-category='list' style='font-size:16px'>가. 국가보안법에서 정한 주요시설물 노출 여부<br>나. 성과품 작성 후 원본사진 삭제 여부</p>
공간정보보안업무예규.json,6,paragraph,"<br><p id='70' data-category='paragraph' style='font-size:16px'>제22조(항공사진의 관리) ① 항공사진(원판포함)중 국가보안시설 및 군사시설이 포함된<br>사진은 비공개로, 국가보안시설 및 군사시설이 삭제된 지역 사진은 공개제한으로 관리하<br>고 국가보안시설 또는 군사시설이 삭제되지 않은 사진을 발견하였을 경우에는 보안담당<br>관이 이를 회수하여 관계 법령에 따라 처리한다.</p>"
공간정보보안업무예규.json,6,paragraph,<br><p id='71' data-category='paragraph' style='font-size:16px'>② &#34;비공개&#34; 또는 &#34;공개제한&#34;에 해당하는 항공사진은 별지 제1호서식의 공간정보 관리대<br>장에 기록관리 하여야 한다.<br>③ 작업이 완료되어 납품된 항공사진은 지체 없이 담당감독관과 관리담당자가 확인한 후</p>
공간정보보안업무예규.json,7,paragraph,<p id='72' data-category='paragraph' style='font-size:20px'>관리대장에 기록하여 관리한다.</p>
공간정보보안업무예규.json,7,paragraph,"<br><p id='73' data-category='paragraph' style='font-size:16px'>④ 항공사진 보관장소의 창문, 출입문등 외부침입이 우려되는 곳은 철책 등 견고한 방호<br>시설을 설치한다.<br>⑤ 보안담당관은 III급 이상의 비밀취급인가를 받은 자에게 항공사진을 관리하게 할 수<br>있으며, 또한 각종 일지 및 대장 확인은 III급 이상의 비밀취급인가를 받은 사진 담당이<br>전결 처리할 수 있다.<br>⑥ 보안담당관은 연 1회 이상의 항공사진보유현황을 조사하여야 하고, 필요한 경우에 수<br>시로 실시 할 수 있다.<br>⑦ 보안담당관은 훼손된 항공사진이나 불필요한 항공사진을 파기할 수 있다. 다만, 항공<br>사진 파기 후 별지 제5호서식의 항공사진 파기대장에 파기내용을 기록하여야 한다.<br>⑧ 타 기관으로부터 보관위탁 받은 항공사진은 이 지침에 정하는 바에 따른다.<br>제23조(항공사진의 복제신청) ① 항공사진 복제신청을 하려는 자는 「공간정보의 구축 및<br>관리 등에 관한 법률 시행규칙」 제12조에 따라 공간정보 보안담당관에게 신청해야 한다.<br>② 항공사진을 복제하여 사용하는 자는 항공사진을 홍보자료로 사용할 수 있으나, 다음의<br>경우에는 사용을 제한할 수 있다.</p>"
공간정보보안업무예규.json,7,list,<br><p id='74' data-category='list' style='font-size:16px'>1. 항만 및 임해공업단지 주변의 해안선 지역<br>2. 시가지 전경<br>3. 그 밖에 특수목적으로 항공사진에 대한 보안성 검토를 거치지 않은 항공사진<br>4. 목표시설 주변의 지형지물의 목표시설에 대한 공격침투로가 되는 지역<br>5. 목표시설에 대한 자연적 및 인공적 방호방벽을 이루는 지형지물이 있는 지역<br>6. 시설자체가 지니는 취약점이 있는 지역</p>
공간정보보안업무예규.json,7,heading1,<h1 id='75' style='font-size:14px'>제5장 보안지도 및 보안사고 조사</h1>
공간정보보안업무예규.json,7,paragraph,<p id='76' data-category='paragraph' style='font-size:16px'>제24조(보안 지도·점검) ① 공간정보 보안담당관은 소관사항을 개선하기 위하여 연 1회<br>이상 정기 또는 수시로 보안 지도·점검을 실시해야 하며 이 경우 정기적으로 실시하는<br>지도·점검은 별지 제6호서식의 보안점검 체크리스트로 갈음할 수 있다.</p>
공간정보보안업무예규.json,7,paragraph,<br><p id='77' data-category='paragraph' style='font-size:16px'>② 제1항에 따른 지도·점검 시 「보안업무예규」 제55조제1항에 따라 보안 점검과 병행할<br>수 있다.<br>③ 지도·점검의 대상기관은 「보안업무예규」 제55조제1항에 따른다.<br>④ 효율적인 지도·점검을 위해 주무부장관에게 필요한 인력 등을 요청할 수 있다.</p>
공간정보보안업무예규.json,7,paragraph,"<br><p id='78' data-category='paragraph' style='font-size:16px'>제25조(보안 교육) ① 공간정보 보안담당관은 보안 교육계획을 수립하여 연 1회 이상 교<br>육을 실시해야 하며, 필요 시 수시교육을 실시할 수 있다. 이 경우 「보안업무예규」 제53<br>조에 따른 보안교육도 병행할 수 있다.</p>"
공간정보보안업무예규.json,8,paragraph,"<p id='79' data-category='paragraph' style='font-size:20px'>② 교육의 효율성 제고를 위하여 자체 실정에 맞는 정보보안 교안을 작성 활용해야 하며<br>필요하면 주무부장관에게 전문 인력 및 자료 지원을 요청할 수 있다.<br>③ 공간정보 보안담당관은 공간정보업무 취급자를 대상으로 연 1회 이상 공간정보 보안<br>교육을 실시해야 한다.<br>제26조(공간정보 보안 사고조사) ① 사장은 다음 각 호의 보안사고가 발생한 때에는 사<br>고일시 및 장소, 사고자 인적사항, 사고내용 및 경위, 조치사항 등을 주무부장관에게 보<br>고해야 한다.</p>"
공간정보보안업무예규.json,8,paragraph,<br><p id='80' data-category='paragraph' style='font-size:20px'>1. 「국가공간정보 기본법」 (이하 &#34;법&#34;이라 한다) 제33조 및 제35조1항에 따른 비공<br>개 또는 공개가 제한되는 공간정보의 누설·유출·침해·훼손·분실<br>2. 법 제37조에 따른 공간정보데이터베이스의 침해·훼손·무단이용<br>3. 법 제38조에 따른 비밀준수의무 위반행위<br>4. 공간정보유통망 또는 보호구역에 대한 불법 침입<br>5. 그 밖에 공간정보에 대한 중대한 침해 행위</p>
공간정보보안업무예규.json,8,paragraph,<br><p id='81' data-category='paragraph' style='font-size:20px'>② 공간정보 보안담당관은 제1항의 보안사고에 대한 필요한 자료의 제공 등 보안조사에<br>성실히 협조하고 이에 대한 조사가 끝날 때까지 관련 내용을 공개하지 아니한다.</p>
공간정보보안업무예규.json,8,paragraph,<p id='82' data-category='paragraph' style='font-size:16px'>제6장 보칙</p>
공간정보보안업무예규.json,8,paragraph,<p id='83' data-category='paragraph' style='font-size:20px'>제27조(보안관리규정) ① 관리기관의 장은 공간정보 보안업무 수행을 위하여 「국가공간<br>정보 보안관리 기본지침」 (이하&#34;지침&#34; 이라 한다.) 및 이 보안관리규정에 저촉되지 아니<br>하는 범위 내에서 자체 실정에 맞는 보안관리규정을 작성하여 시행해야 한다.<br>② 제1항의 보안관리규정을 제정하거나 개정할 때에는 국토교통부장관을 경유하여 국가<br>정보원장과 미리 협의해야 한다.<br>제28조(준용) 이 보안관리규정에 명시되지 않은 사항은 다음의 관련 규정 및 지침을 준<br>용한다.</p>
공간정보보안업무예규.json,8,list,<br><p id='84' data-category='list' style='font-size:18px'>1. 「보안업무규정」<br>2. 「보안업무규정 시행규칙」<br>3. 「국가공간정보 보안관리 기본지침」<br>4. 「국토교통부 보안업무 규칙」<br>5. 그 밖에 공간정보 보안업무 관련 규정</p>
공간정보보안업무예규.json,8,footer,<footer id='85' style='font-size:14px'>부칙 (2019.02.25)</footer>
공간정보보안업무예규.json,9,paragraph,<p id='86' data-category='paragraph' style='font-size:18px'>이 지침은 2019년 2월 25일부터 시행한다.</p>
공간정보보안업무예규.json,9,paragraph,<p id='87' data-category='paragraph' style='font-size:14px'>부칙 (2020.01.06)</p>
공간정보보안업무예규.json,9,paragraph,<br><p id='88' data-category='paragraph' style='font-size:18px'>이 지침은 2020년 1월 6일부터 시행한다.</p>
공간정보보안업무예규.json,9,paragraph,<p id='89' data-category='paragraph' style='font-size:14px'>부칙 (2021.01.06)</p>
공간정보보안업무예규.json,9,paragraph,<br><p id='90' data-category='paragraph' style='font-size:18px'>이 지침은 2021년 1월 6일부터 시행한다.</p>
공간정보보안업무예규.json,9,paragraph,<p id='91' data-category='paragraph' style='font-size:14px'>부칙 (2022.01.24)</p>
공간정보보안업무예규.json,9,paragraph,<br><p id='92' data-category='paragraph' style='font-size:18px'>이 지침은 2022년 1월 24일부터 시행한다.</p>
공간정보보안업무예규.json,9,paragraph,<p id='93' data-category='paragraph' style='font-size:14px'>부칙 (2025.01.16)</p>
공간정보보안업무예규.json,9,paragraph,"<br><p id='94' data-category='paragraph' style='font-size:18px'>제1조 (시행일) 이 예규는2025년 1월 16일부터 시행한다.<br>제2조 (다른 사규의 개정) ① 「디지털 트윈 플랫폼 운영 규정」 일부를 다음과 같이 개<br>정한다. 제23조제1항, 제3항, 제4항 및 제29조제1항, 제2항 중 &#34;공간정보 보안업무지침&#34;<br>을 &#34;공간정보 보안업무예규&#34;로 한다.<br>② 「공간정보업무규정」 일부를 다음과 같이 개정한다. 제9조제1항 중 &#34;공간정보 보안업<br>무지침&#34;을 &#34;공간정보 보안업무예규&#34;로 한다.</p>"
공간정보보안업무예규.json,9,paragraph,<p id='95' data-category='paragraph' style='font-size:14px'>부칙 (2026.07.01)</p>
공간정보보안업무예규.json,9,paragraph,<br><p id='96' data-category='paragraph' style='font-size:18px'>이 예규는 2026년 7월 1일부터 시행한다.</p>
공간정보보안업무예규.json,10,paragraph,<p id='97' data-category='paragraph' style='font-size:16px'>[별표 1]</p>
공간정보보안업무예규.json,10,heading1,<br><h1 id='98' style='font-size:20px'>국가공간정보 세부 분류기준</h1>
